Customer Id (v2),ACC_KEY,POSTING DATE*,VALUE,Amt, CCY  ,Unnamed: 0,BRANCH*,Memo,Commentary,,year_added_2021,new_col_202106, date  ,mystery_2021_06_45,mystery_2021_06_35,mystery_2021_06_96,Unnamed: 0
C19996,A-1256887,2021-06-15,-1481.62,-1481.62,GBP,,AUH,ok,ok,,,,2021-06-15,,,,
C32374,A-3782239,Jun-03-21,14019.61652247236,14038.903946290371,USD,x,UAQ,,,,Y21,m6,03/06/2021,,,,
C27808,A/30368,Jun-23-21,3251.992715729754,,AED,,UAQ,!!!,!!!,,Y21,31,2021-06-23,,,,
C30232,A-6978769,09 June 2021,-739.06,-739.06,AED,,SHJ,ملاحظة,ملاحظة,,Y21,62,09 June 2021,,,,
,A-8828659,2021-06-18 00:00:00,-5744.55,"-5,744.55",aed ,,AAN,ok,ok,,1,39,0000-00-00,,,,
C37277,A-5666356,25 June 2021,6327.41,6327.41,AED,,DXB,ok,ok,,1,,25/06/2021,x,,,
C10622,A-5145090,32/13/2023,-7307.85,"-7,307.85",SAR,,UAQ,,,,,m6,10/06/2021,,,,
,A-3629527,16/06/2021,28017.09720520471,27978.85,USD,,RAK,ok,ok,,,m6,32/13/2023,x,,,x
C49921,A-6520427,32/13/2023,-335.2,not available,OMR,,UAQ,needs review,needs review,,,m6,2021-06-16,,,,
,A-2620192,2021-06-13 00:00:00,,20380.874265074657,EUR,,AUH,,,,,m6,2021-06-13 00:00:00,,,,
C33729,A-5148117,15/06/2021,-3469.416103806635,,EUR,,UAQ,ok,ok,,Y21,,2021-06-15 00:00:00,x,,,
C98312,A-7783608,2021-06-19,3103.73,3103.73,OMR,,AAN,ملاحظة,ملاحظة,junk,,34,2021-06-19,x,,,
C22514,A-6124193,32/13/2023,,20371.87671598663,EUR,,UAQ,needs review,needs review,,Y21,,2021-06-18 00:00:00,,,,
C45045,A-9144052,24 June 2021,14769.9,,EUR,,UAQ,,,,1,m6,32/13/2023,,,,
C28726,A-1925152,19/06/2021,10831.48,,AED,,AAN,ok,ok,,Y21,m6,2021-06-19,,x,,
C10078,A-3613043,0000-00-00,"18,851.73",(18851.73),OMR,,AUH,needs review,needs review,,0,m6,2021-06-25,,,,
C67462,A-6834121,2021-06-06,,,OMR,,RAK,ok,ok,,,,2021-06-06 00:00:00,,,,
C34219,A-2084929,27 June 2021,18659.72,18659.72,SAR,,AUH,,,,,m6,2021-06-27,,,x,
C39000,A-3796166,09/06/2021,26712.53,,SAR,,FJR,ok,ok,,Y21,m6,09/06/2021,,,,
