_CLIENT_REF__,ledger_account, Date  ,net_value,NET_VALUE,CURRENCY,APPRV_STATE,branch_region, REMARKS  , OPS_COMMENT  ,,year_added_2021, new_col_202110 , Customer Id  ,mystery_2021_10_73,mystery_2021_10_23
C84220,A-2625193,10 October 2021,"19,197.88","19,220.03",OMR,,FJR,needs review,needs review,,,m10,C84220,,
C67795,A/91083,2021-10-13,-2417.8,-2427.362379314991,OMR,CANCELLED,UAQ,needs review,needs review,,0,99,C67795,,
C57939,A-7493408,Oct-10-21,5880.66,5880.66,OMR,CANCELLED,DXB,ok,ok,junk,,m10,C57939,,
,A-7266924,32/13/2023,7957.85,"7,957.85",USD,Closed,  DXB,!!!,!!!,,0,,,x,
C16011,A-2823953,28/10/2021,15612.52,15612.52,SAR,Open,UAQ,!!!,!!!,,0,42,C16011,,
,A-8141336,2021-10-24,23420.67,not available,USD,Open,AAN,ok,ok,,,,,,
C20755,,04/10/2021,6720.322675013152,6726.49,GBP,,SHJ,needs review,needs review,,0,,C20755,,
C57655,A-1688634,2021-10-23 00:00:00,"27,411.39",,AED,,DXB,needs review,needs review,,Y21,m10,C57655,,
C91400,A-5343805,0000-00-00,11744.5,11744.5,OMR,Open,UAQ,needs review,needs review,,Y21,48,C91400,,
C75824,A-2698520,2021-10-22,12001.76,not available,GBP,,UAQ,ok,ok,,1,,C75824,,
C44859,A-6302948,Oct-14-21,19685.04,,OMR,,SHJ,ok,ok,,0,,C44859,,
C71229,A-3630667,,22959.31,"22,959.31",USD,CANCELLED,  FJR,needs review,needs review,junk,Y21,m10,C71229,,
C63227,A-9141358,32/13/2023,10271.41,,OMR,,FJR,ok,ok,,Y21,m10,C63227,,
,A-1107398,,-5105.83,-5105.83,EUR,,RAK,ok,ok,,Y21,64,,,
,A-5931000,01/10/2021,,-944.5603950716124,SAR,Open,DXB,needs review,needs review,,,,,x,
C38003,A-8903033,Oct-05-21,-6363.11,(6363.11),EUR,CANCELLED,AAN,ok,ok,,Y21,m10,C38003,,
C94263,A-1284543,21/10/2021,28936.35036780645,28950.92571995124,EUR,Pending,RAK,needs review,needs review,,,m10,C94263,,
C65869,A-3970760,03 October 2021,8249.510799134296,8226.63,EUR,,SHJ,needs review,needs review,,Y21,m10,C65869,,
C61020,A-7408321,23 October 2021,,15292.05,OMR,,  AUH,,,,,58,C61020,,
C80623,A-5975665,2021-10-03 00:00:00,"26,022.71",26022.71,AED,Pending,  AUH,needs review,needs review,,Y21,,C80623,,
C18370,A/30038,2021-10-06 00:00:00,,190.0719139545936,USD,,AAN,ok,ok,,Y21,m10,C18370,,
C18994,A-2294222,10 October 2021,,-2983.75832803297,AED,Pending,AUH,ok,ok,,,m10,C18994,,
C66595,A-9571397,,not available,,AED,,FJR,ok,ok,,Y21,m10,C66595,,
C49707,A/53219,32/13/2023,"7,831.32",7782.28,GBP,Open,DXB,ملاحظة,ملاحظة,,Y21,m10,C49707,x,
C17441,A-3340631,2021-10-02,,"2,782.61",USD,,UAQ,ok,ok,,0,m10,C17441,,
C60084,A/1106,Oct-07-21,(7683.22),"-7,725.75",SAR,Pending,FJR,ملاحظة,ملاحظة,,Y21,,C60084,,
C53327,A-4161101,26 October 2021,"10,875.71",10898.866425361986,EUR,CANCELLED,UAQ,!!!,!!!,junk,0,53,C53327,,
C18010,A-1296822,20/10/2021,6810.54,6784.419473080415,SAR,,UAQ,ok,ok,,1,m10,C18010,,
C65046,A-8478566,Oct-24-21,27696.39782662623,27699.56863515581,AED,Open,RAK,ok,ok,,Y21,m10,C65046,,
C85157,A-2286920,2021-10-10,,863.27,OMR,Pending,  UAQ,needs review,needs review,,Y21,m10,C85157,x,
C83905,A-4088269,2021-10-07,-209.49,-209.49,GBP,,FJR,,,,Y21,m10,C83905,x,
C13378,A-2023123,2021-10-08,,13633.68160322436,EUR,Open,AAN,needs review,needs review,,,m10,C13378,,
C72147,A-7168096,2021-10-03,8332.523365569645,not available,SAR,Closed,AUH,,,,,m10,C72147,,
C90858,A-7106160,28/10/2021,-7106.21,-7106.21,USD,,UAQ,needs review,needs review,,,,C90858,,
C74154,,2021-10-15,-2805.36,(2805.36),SAR,Closed,  RAK,,,,Y21,m10,C74154,,
C45629,A-5276100,2021-10-16 00:00:00,-2101.63,-2101.63,EUR,In Review,DXB,,,,Y21,m10,C45629,,
