clientnumber#,Account ID*,POSTING_DATE, NET_VALUE  ,Value,currency_code,txn_status !!,branch_region,NOTES, remarks  ,,year_added_2021,new_col_202103,BR_CODE,mystery_2021_03_12,mystery_2021_03_67,mystery_2021_03_38,mystery_2021_03_19,mystery_2021_03_69
C60344,A-5164118,19 March 2021,(4115.83),-4095.1425405459017,AED,,  RAK,,,,,m3,  RAK,,,,,
C94139,A-4622315,0000-00-00,,29837.01827191918,USD,In Review,RAK,ok,ok,,1,m3,RAK,,x,,,
C29216,A-5463386,2021-03-22,(6570.72),6513.859468250504,SAR,Pending,SHJ,ملاحظة,ملاحظة,,Y21,,SHJ,,,,,x
,A-1494157,2021-03-09,528.2453959917929,501.92,AED,,UAQ,needs review,needs review,junk,,m3,UAQ,,,,,
C92557,A-6392076,10 March 2021,21398.86,21398.86,OMR,In Review,DXB,,,,1,m3,DXB,,,,x,
C27982,A/97762,0000-00-00,,19549.55,SAR,CANCELLED,AUH,!!!,!!!,,,m3,AUH,,,,,
C11394,A-3756041,15/03/2021,14911.23,14898.82811082577,AED,CANCELLED,AUH,ok,ok,,Y21,,AUH,,,,,
C61850,A-1721441,2021-03-28,2820.9,2837.627635646902,AED,Closed,  SHJ,ok,ok,,,60,SHJ,,x,,,
,A-8044211,2021-03-09,4899.532939233663,4925.23,SAR,,FJR,,,,Y21,,FJR,,,,,
C66189,A-2996404,2021-03-21,-5678.62,"-5,710.58",SAR,Closed,SHJ,needs review,needs review,junk,,m3,SHJ,,,,,
C44722,A-3522295,Mar-22-21,"16,749.46","16,749.46",USD,Open,RAK,ok,ok,,,,RAK,,,x,,
C40120,A-8267065,2021-03-23 00:00:00,18273.44,18273.44,GBP,Pending,FJR,ok,ok,junk,,88,FJR,,,,x,
C72600,A/3437,Mar-13-21,9176.24,"9,176.24",SAR,,AUH,!!!,!!!,,0,,AUH,x,,,,
C94319,A-9797750,26/03/2021,-934.90,-922.99,omr ,,DXB,needs review,needs review,,,,DXB,,,,,
C70383,A-4290133,13 March 2021,,22985.86944707881,EUR,Closed,FJR,ok,ok,,0,,FJR,,,,,
C60997,A/52908,2021-03-11 00:00:00,422.78,422.78,OMR,Closed,AAN,needs review,needs review,,Y21,m3,  AAN,,,,x,
C50189,A/88530,2021-03-07 00:00:00,23324.49,,AED,,AUH,,,,Y21,35,AUH,,,,,x
C64982,A-9800065,2021-03-27 00:00:00,,8197.5,EUR,Open,AUH,!!!,!!!,junk,,29,AUH,,,,,
C10881,A-3177278,,12017.76,12021.65148998425,EUR,CANCELLED,DXB,,,,1,m3,DXB,,x,,,
C57672,A-6323868,14/03/2021,,,GBP,Closed,AAN,!!!,!!!,,,m3,AAN,,x,x,x,
C51599,A-1093444,28 March 2021,-6716.01,,USD,,FJR,needs review,needs review,junk,0,m3,FJR,,,,,
C10834,A-9645534,2021-03-05,26931.16,,EUR,Closed,AUH,needs review,needs review,,0,,  AUH,,,,,
C55220,A-3769232,32/13/2023,18834.33,18834.33,omr ,CANCELLED,DXB,,,,Y21,m3,DXB,x,,,,
C61445,A-4047623,2021-03-04 00:00:00,,-3404.67,SAR,Closed,AUH,needs review,needs review,,Y21,,AUH,,,,,
C49740,A/30993,2021-03-21,(4350.20),4353.9,EUR,,DXB,,,,Y21,m3,DXB,x,,,,
,A-8361775,2021-03-04,,-1330.8595710159982,AED,Closed,  AUH,ok,ok,,,,AUH,,,,,
C32710,A-1746009,07 March 2021,10596.66479044015,10579.93,OMR,CANCELLED,RAK,needs review,needs review,junk,Y21,36,RAK,x,,,,
C94594,A-6381025,2021-03-13,(5225.90),5181.72,USD,Closed,UAQ,,,,Y21,29,UAQ,,x,,,
C37579,A-9386347,2021-03-03 00:00:00,-3623.53,"-3,623.53",SAR,Open,FJR,ok,ok,,Y21,m3,  FJR,,,,,
C14183,A-6753560,24/03/2021,12107.9,"12,107.90",SAR,Closed,DXB,!!!,!!!,,Y21,m3,DXB,,,,,
C91965,A-6656532,13 March 2021,4397.287533054333,(4443.34),usd ,Closed,RAK,ok,ok,,Y21,m3,RAK,,,,x,
C69471,A-5621484,2021-03-08,5608.227056210075,5642.61,EUR,In Review,AAN,needs review,needs review,,Y21,m3,AAN,,,,,
C66521,A-1375480,2021-03-03,-3180.476526640325,,EUR,In Review,  FJR,!!!,!!!,,Y21,,FJR,,,,,
C50404,A-7222468,2021-03-26,21553.55995526742,21578.45,EUR,Pending,AAN,needs review,needs review,,,42,  AAN,,,,,
C46198,A-2509625,32/13/2023,11618.64,11618.64,GBP,Open,RAK,ok,ok,,Y21,28,RAK,,,x,,
C74491,A-7721240,Mar-09-21,-530.96,,AED,In Review,SHJ,ok,ok,,Y21,64,SHJ,,,x,x,
C20345,A-2074992,0000-00-00,-2747.56,-2747.56,SAR,Open,AUH,ok,ok,junk,Y21,m3,  AUH,,,,,
C83783,A-5522403,27 March 2021,,"1,462.54",OMR,Open,AAN,,,,Y21,87,AAN,,,x,,
C23376,A-7408963,10/03/2021,"10,428.31",10428.31,AED,CANCELLED,SHJ,needs review,needs review,,Y21,,SHJ,x,,x,,x
C96549,A-4596066,2021-03-28 00:00:00,"9,508.19",,GBP,,DXB,ok,ok,,Y21,30,DXB,,,,,
,,19 March 2021,28575.73,28575.73,OMR,,RAK,needs review,needs review,,,m3,RAK,x,,,,
C58994,A-1193508,2021-03-17,22851.07,22851.07,EUR,In Review,AUH,needs review,needs review,junk,Y21,,AUH,,x,,,
C76150,A/75838,2021-03-18,17499.501659757032,17470.49,SAR,,FJR,ok,ok,,0,,FJR,x,,,,
C70324,A-7679985,32/13/2023,-6283.63,-6283.63,GBP,CANCELLED,FJR,ملاحظة,ملاحظة,,Y21,,FJR,,,,,
C26391,A-4724585,2021-03-18,"12,245.45",12242.73,GBP,Closed,  RAK,ok,ok,,Y21,m3,RAK,,x,,,
C93898,A-4432133,2021-03-20,840.66,,SAR,,SHJ,,,,Y21,m3,SHJ,,,,,
C47899,A-7985879,07 March 2021,9861.76,,OMR,CANCELLED,FJR,ok,ok,,0,86,FJR,,,,x,
C92128,A-5446406,32/13/2023,,17200.38,GBP,,DXB,,,,1,m3,DXB,,,,,
C42295,A-7400338,12 March 2021,-3720.525846336745,"-3,691.24",SAR,Open,SHJ,,,,Y21,86,SHJ,,,,,
C27810,A-5197957,10 March 2021,26979.32,26960.394208255668,SAR,,UAQ,ok,ok,,Y21,m3,UAQ,,,,,
C76377,A-1484716,26/03/2021,24567.42,24567.42,EUR,Pending,UAQ,needs review,needs review,,,m3,UAQ,,,,,
C69234,A-9025631,2021-03-25 00:00:00,3803.42,,USD,,AAN,ملاحظة,ملاحظة,,Y21,m3,AAN,,,,,
,A/25675,32/13/2023,-1430.21,(1472.60),GBP,Pending,  SHJ,!!!,!!!,,,m3,SHJ,,,,,
C79768,A-6877971,13 March 2021,"29,323.95",29369.24,GBP,Closed,AAN,ok,ok,,0,m3,AAN,,x,,,
C68648,A/89414,2021-03-23 00:00:00,19870.71,19870.71,AED,CANCELLED,SHJ,,,,,41,SHJ,x,,,,x
C89526,A-5142931,2021-03-03,19160.81,19198.91965739607,USD,Open,SHJ,ملاحظة,ملاحظة,,Y21,79,SHJ,,,,,
C65703,A-3889875,Mar-03-21,26838.01,"26,798.73",EUR,Pending,AAN,needs review,needs review,,,56,AAN,,,,,
C80630,A-8140130,Mar-09-21,21503.63,21503.63,omr ,In Review,  AUH,ok,ok,,Y21,m3,AUH,,,,,
C82973,A-8541869,Mar-27-21,1055.8581103227543,1054.15,AED,Closed,AUH,!!!,!!!,,Y21,,AUH,,,x,,
C70464,A/5939,2021-03-13,11301.08,,OMR,In Review,FJR,,,,1,m3,FJR,,,,,
C82133,A-4271345,32/13/2023,24963.06992946862,24899.36477031191,GBP,Pending,UAQ,ملاحظة,ملاحظة,,Y21,,UAQ,,,,x,
C22062,A-7593234,Mar-09-21,"-4,711.41",(4702.26),AED,,UAQ,,,,,,UAQ,,,,,
C84379,A-7799074,Mar-18-21,9446.31,9446.31,AED,In Review,DXB,needs review,needs review,,Y21,97,DXB,,,,,
C56990,A-9757314,2021-03-14,25161.91,25161.91,SAR,Open,AAN,!!!,!!!,,,m3,AAN,,,,,
C81016,A-3426881,Mar-04-21,,(19061.69),SAR,Closed,SHJ,ok,ok,,Y21,m3,SHJ,,,x,,
C10378,A-3374579,2021-03-05 00:00:00,5952.42,5952.42,AED,,RAK,ok,ok,,Y21,m3,RAK,,,,x,x
C10662,A-9144915,2021-03-09,,26671.73,GBP,Closed,DXB,,,,Y21,,DXB,,,,,
,A-2445753,2021-03-15,not available,-4926.91,AED,,AAN,ok,ok,,Y21,m3,AAN,x,,,,
C94654,A-9756078,08 March 2021,(13102.65),13131.95315339636,USD,,UAQ,needs review,needs review,,0,,UAQ,,,,,
C30149,A-7765944,02 March 2021,,,EUR,Closed,UAQ,,,,Y21,,UAQ,,,,,
C81717,A-3967499,07/03/2021,6539.75,6539.75,OMR,,AAN,needs review,needs review,,0,m3,AAN,,,x,,
C52539,A-9277618,Mar-11-21,"19,763.56",19763.56,OMR,In Review,AUH,,,,,22,AUH,,,,,
C51304,A/91572,32/13/2023,"17,964.29",17938.34,AED,Open,FJR,ok,ok,junk,,m3,FJR,,,,,
C54536,A/5745,2021-03-20 00:00:00,10707.88,10707.88,SAR,,  DXB,,,,1,,DXB,,,,,
C85887,A-5654572,Mar-23-21,-6805.56,not available,USD,CANCELLED,AUH,needs review,needs review,,Y21,m3,AUH,,,,,
C17775,A/74632,Mar-02-21,"-7,504.17",-7504.17,AED,CANCELLED,RAK,needs review,needs review,,Y21,,RAK,,,,,
C39494,A-7587246,2021-03-12,20832.99,20801.35448929151,USD,Pending,AAN,ok,ok,,0,m3,AAN,,,,,
C22484,A-1536003,28/03/2021,26011.15,25972.814825743728,SAR,,FJR,ok,ok,,Y21,79,  FJR,x,,,,
C82939,A-8569000,32/13/2023,,24670.88653022407,AED,Closed,  RAK,,,,Y21,m3,RAK,,,,,
C31247,A-1102663,Mar-12-21,"18,638.39",18616.11,USD,Open,FJR,,,,Y21,,FJR,,,,,
C71662,A-2580352,2021-03-23,-6310.63,-6309.777968062301,AED,,UAQ,ok,ok,,Y21,99,UAQ,,,,,
C72491,A-1905539,2021-03-25,not available,not available,GBP,Closed,FJR,!!!,!!!,junk,Y21,m3,FJR,,,,,
C14733,A/36307,2021-03-05,18443.38,18469.310405505483,USD,,DXB,ok,ok,,Y21,26,DXB,,,,,
C67667,A/52152,2021-03-27 00:00:00,-4305.931979291517,,GBP,Closed,DXB,,,junk,0,m3,DXB,,,,,
C18766,A-7574689,32/13/2023,,-4915.93,USD,Open,SHJ,needs review,needs review,,Y21,,SHJ,,,,,
C95986,,10/03/2021,18024.6,18024.6,GBP,,DXB,,,,Y21,48,DXB,,,,x,
C82719,A-5472051,Mar-21-21,17851.79051561681,17808.76,GBP,,  AUH,needs review,needs review,,,,AUH,,,,,
,A-4131618,2021-03-10,,5857.48,USD,Closed,DXB,ok,ok,,,,DXB,,,,,
C62609,A-5500507,15 March 2021,not available,,OMR,Pending,DXB,needs review,needs review,,Y21,82,DXB,,,,,
C50153,A-6732615,20 March 2021,14645.89,14609.56088648647,EUR,,AAN,needs review,needs review,,Y21,m3,AAN,,,,,
C35613,A-3640954,19 March 2021,not available,3437.9,EUR,Pending,DXB,,,junk,Y21,m3,DXB,,,,,
C83004,A-3624265,2021-03-03 00:00:00,28839.52,28839.52,EUR,,DXB,needs review,needs review,,Y21,97,DXB,,x,x,,
C27308,A-7716003,2021-03-15 00:00:00,-844.59,-844.59,sar ,Open,AUH,ok,ok,,0,,AUH,,,,,
C26780,A-4125739,2021-03-24,24200.216382863222,24173.91,USD,Open,SHJ,ok,ok,,Y21,83,SHJ,,,,,
C13511,A-4128733,32/13/2023,"24,525.92","24,498.60",USD,Pending,DXB,,,,,94,DXB,x,,x,,
C39556,A-8100568,2021-03-12,(5300.31),5300.31,AED,CANCELLED,SHJ,ok,ok,,0,m3,SHJ,,,,,
,A-4068301,Mar-18-21,(24643.15),24643.15,OMR,,UAQ,ملاحظة,ملاحظة,,1,,UAQ,,,,,
,,10/03/2021,,,GBP,Closed,FJR,,,,Y21,m3,FJR,,,,,
C46146,A-4964703,16 March 2021,"3,979.70",3979.7,GBP,Pending,UAQ,ok,ok,,Y21,m3,UAQ,,,,,
C84537,A-3923931,32/13/2023,6004.162507058953,5994.92,SAR,,AAN,ok,ok,,Y21,m3,  AAN,,,,,
C95462,A-3280950,Mar-20-21,-2312.5,-2312.5,AED,Closed,RAK,ok,ok,,,m3,RAK,,,,,
C13711,A-6689470,0000-00-00,12175.70835880888,12155.88,GBP,CANCELLED,FJR,needs review,needs review,,Y21,,FJR,,,,,
C30780,A-2161873,02/03/2021,21434.64,,SAR,,SHJ,ok,ok,,1,,SHJ,,,,,
C36385,A-6831067,2021-03-14,-6669.0548505517845,,EUR,Open,AUH,needs review,needs review,,Y21,38,AUH,,,,,
C11042,A-6868075,0000-00-00,-1878.11,-1878.11,SAR,,DXB,needs review,needs review,,,50,DXB,,,,,
C43737,A-6122965,10/03/2021,,13636.65,GBP,In Review,DXB,,,,,m3,DXB,,,,,
C85447,A-9945252,2021-03-07,,11850.63,EUR,Open,DXB,ok,ok,,,m3,DXB,,,x,,
C42038,A-6062881,02 March 2021,24233.75,(24233.75),SAR,Open,DXB,,,,0,m3,DXB,,,,,x
,A-2323408,2021-03-01,not available,27886.51,EUR,,AAN,needs review,needs review,,Y21,m3,AAN,,,,,
C63290,A-2808272,2021-03-09,"17,253.72",not available,OMR,In Review,SHJ,needs review,needs review,junk,,,SHJ,x,,,,x
C71055,A-1629814,Mar-03-21,4096.612430678936,4104.4,USD,Closed,RAK,,,,,m3,RAK,,,,,
C62595,A-2808703,0000-00-00,,(7621.49),AED,Closed,DXB,ok,ok,,Y21,m3,DXB,,,,,
C40255,A-5333808,32/13/2023,(6846.41),"-6,896.35",EUR,,UAQ,ok,ok,,0,m3,  UAQ,,,x,,x
C81626,A-2704402,2021-03-22 00:00:00,,18254.30609340081,EUR,,AAN,needs review,needs review,,,m3,AAN,,,,,
C46929,A-9508283,2021-03-18,27991.86,"27,946.06",SAR,Closed,FJR,ok,ok,,,m3,FJR,,,,,x
C73534,A/82481,28 March 2021,14694.97919686526,,EUR,Open,RAK,!!!,!!!,,1,32,RAK,,x,,,
C52008,A/77478,22/03/2021,6486.862168369839,6535.01,USD,Closed,FJR,,,,Y21,m3,  FJR,,x,,,
C19354,A-6254989,32/13/2023,9031.41,,EUR,In Review,FJR,,,,Y21,m3,FJR,,x,,,x
