CID,acct,VALUE_DATE,AMT,Amount,currency_code,APPRV_STATE,branch_region,NOTES,Unnamed: 0,,year_added_2021,new_col_202109,_remarks__,mystery_2021_09_37,mystery_2021_09_19,mystery_2021_09_1
C71239,A/8871,18 September 2021,(6951.27),-6957.07,OMR,CANCELLED,SHJ,needs review,,,1,,needs review,,,
C57814,A-1037905,2021-09-13 00:00:00,,15978.64265316306,AED,CANCELLED,  FJR,needs review,,,,,needs review,,,x
C40962,A-5366057,Sep-13-21,25931.98,(25931.98),GBP,In Review,AUH,,,,Y21,,,,,
C58361,A-7467813,2021-09-27,14860.47764427842,(14773.56),USD,Open,DXB,ok,,,0,33,ok,,,
C97676,A-1568626,2021-09-13,-5123.61,-5123.61,AED,In Review,DXB,,,,,17,,,,
C57925,A-6868707,2021-09-18,not available,,GBP,CANCELLED,SHJ,needs review,,,Y21,m9,needs review,x,,
C30920,A/90516,Sep-06-21,1682.46,1682.46,EUR,Open,FJR,,,,,,,,,
C55675,A-6661631,2021-09-06,3195.84,"3,195.84",USD,,AUH,,,junk,Y21,m9,,,,
,A/57979,Sep-11-21,-2316.9,-2316.9,EUR,Closed,AUH,,x,,Y21,m9,,,,
,A-2207248,2021-09-14,,-2550.97,aed ,,DXB,needs review,,,0,m9,needs review,,,x
C85851,A-4797818,2021-09-01 00:00:00,13932.58,13932.58,GBP,,  UAQ,,,,,,,,,
C70465,A-1685209,,843.1921355912849,not available,SAR,,SHJ,needs review,,,0,m9,needs review,,,
,A/40417,2021-09-03 00:00:00,565.6741983961684,579.81,OMR,CANCELLED,  FJR,ملاحظة,,,1,m9,ملاحظة,,,
C11218,A-3554033,2021-09-03 00:00:00,8886.449421906598,8861.56,aed ,In Review,FJR,needs review,,,Y21,53,needs review,,,
C53331,,2021-09-16,not available,-3503.53,SAR,,SHJ,needs review,,,Y21,45,needs review,,,
C36415,A-2490833,2021-09-25,"17,644.99",17644.99,SAR,Pending,RAK,ok,,junk,Y21,m9,ok,,x,
C72756,A-9683812,2021-09-04 00:00:00,,4163.75,EUR,,SHJ,,,,Y21,m9,,,,
C53177,A-7061849,07/09/2021,604.28,604.28,OMR,CANCELLED,FJR,ملاحظة,,,Y21,m9,ملاحظة,,,
,A-9350158,10/09/2021,(12853.16),12889.04624819752,EUR,Closed,SHJ,,,,1,m9,,,,
,A-6137510,Sep-23-21,"11,674.69",11674.69,GBP,In Review,FJR,ok,,,Y21,m9,ok,,,
C31551,,01 September 2021,,,EUR,CANCELLED,UAQ,ok,,junk,0,m9,ok,,,
C87677,A-1538123,2021-09-14,-5157.520911406286,-5137.72,EUR,Open,AAN,ملاحظة,,,Y21,m9,ملاحظة,,,
C63428,A-1082110,Sep-14-21,-2413.887222445759,-2439.026676449332,OMR,,AUH,needs review,,,,m9,needs review,,,x
C65004,A-6583896,19 September 2021,(29123.58),,USD,Open,RAK,ok,,,Y21,75,ok,,x,
C11292,A-1115698,,,6483.48,sar ,,  DXB,ok,,,Y21,,ok,,,
C96060,A-6089455,2021-09-16 00:00:00,not available,23395.28,OMR,Closed,SHJ,ok,,,0,m9,ok,,,
C49390,A-7787087,2021-09-23,15230.09,15230.09,EUR,,UAQ,needs review,,,0,m9,needs review,,,
C53929,A-5194640,32/13/2023,,2291.94,EUR,In Review,UAQ,ok,,,1,,ok,,,
C13358,A-3768187,12/09/2021,2272.02,2272.02,AED,Open,DXB,,,,Y21,m9,,,,
C47855,A-5017296,Sep-07-21,-6499.92,,OMR,CANCELLED,DXB,ok,,junk,0,,ok,,,
C52417,A-6713841,11/09/2021,-3995.74,(3995.74),EUR,Closed,SHJ,!!!,,,Y21,m9,!!!,,,
C16528,A-7403910,Sep-24-21,21685.53,21685.53,EUR,,SHJ,needs review,,,Y21,,needs review,,,
C55086,A-1770320,2021-09-13,19568.3,19536.52571788563,AED,In Review,RAK,needs review,,junk,1,m9,needs review,,,
C92535,A-5104331,2021-09-08 00:00:00,3395.467087616466,3367.59,USD,Open,AUH,ok,,,Y21,83,ok,,,
C89092,A-7307445,2021-09-10,4313.654793771233,"4,283.11",SAR,Closed,  UAQ,,,,Y21,53,,,,
C38429,A/25057,02 September 2021,28739.56,(28739.56),GBP,Open,  AUH,!!!,,,,81,!!!,,,
,A-8273621,2021-09-07,12608.20425437932,12631.26,USD,In Review,AUH,ملاحظة,,,Y21,47,ملاحظة,,,x
C87665,A-4601615,Sep-08-21,5965.76,5965.76,GBP,Open,  AUH,,,junk,,,,,,
C62251,A-2853750,2021-09-28 00:00:00,,5484.25,OMR,Pending,AAN,needs review,,,Y21,m9,needs review,,,x
C21769,A-9409954,Sep-21-21,25766.326533705946,25693.18124146376,OMR,,SHJ,,,,Y21,51,,,,
C67906,A-7008289,2021-09-08,(511.71),464.8079826481728,USD,CANCELLED,  DXB,!!!,,,,79,!!!,,,
C27412,A-7215175,32/13/2023,not available,"9,949.13",EUR,Open,AUH,ok,x,junk,1,m9,ok,,,x
C21304,A-9051046,2021-09-22 00:00:00,15962.16,15943.01404566423,GBP,Pending,UAQ,ملاحظة,,,0,,ملاحظة,x,,x
C78338,A-4721074,2021-09-20 00:00:00,2409.83,,USD,In Review,RAK,needs review,,,Y21,47,needs review,,,
C20888,A-7246755,2021-09-04,19355.448701387122,19332.63,OMR,In Review,AUH,needs review,,junk,,m9,needs review,,,
C31633,A-5437882,23 September 2021,(2874.47),2874.47,SAR,Open,DXB,ok,,,1,m9,ok,,,
C56936,A-5625514,2021-09-15,2407.56,2441.6622733656864,EUR,,FJR,ok,,,,,ok,,,
C56288,A-2559614,2021-09-26,13234.44747953358,13224.89347250586,EUR,Closed,AUH,,,,Y21,24,,,,
C20661,A-5875370,11 September 2021,"-7,407.31",,EUR,Pending,UAQ,ok,,,1,,ok,x,,
C87536,A-2338134,0000-00-00,,13120.90729365954,SAR,Open,UAQ,ملاحظة,,,1,m9,ملاحظة,,,
C33317,A-7168510,2021-09-18,5904.54,5904.54,GBP,Pending,UAQ,ok,,,,,ok,,,x
C80135,,2021-09-28 00:00:00,13260.85,13260.85,EUR,Open,FJR,ok,,,,m9,ok,,,
C90351,A-7419416,Sep-07-21,9551.88,(9551.88),USD,,FJR,ملاحظة,,,Y21,m9,ملاحظة,,,
C15798,A-2934235,Sep-07-21,6913.58,"6,941.97",AED,Pending,AUH,needs review,,,0,m9,needs review,,x,
C68311,A-3278433,23/09/2021,(9594.07),(9594.07),EUR,In Review,  FJR,ok,,,Y21,m9,ok,,,
C83881,A/57952,,,"-6,039.55",GBP,,  SHJ,needs review,,junk,Y21,,needs review,,,
C82965,A-4583123,2021-09-18,,,SAR,Open,UAQ,needs review,,,Y21,m9,needs review,,,x
C14616,A-4093451,32/13/2023,,"21,512.33",OMR,Pending,DXB,needs review,,,Y21,,needs review,,x,
C93485,A-7653694,32/13/2023,13066.17,,GBP,CANCELLED,AAN,needs review,,,Y21,m9,needs review,x,,
C60704,,2021-09-05,,7475.27,AED,Closed,AAN,needs review,,,Y21,m9,needs review,,x,
C31363,A-4039179,2021-09-24,2307.36,2307.36,USD,,AUH,ok,,,Y21,m9,ok,,,
C85134,A/92797,Sep-05-21,-1430.32,-1430.32,EUR,,UAQ,needs review,,,,m9,needs review,,,
C19984,A-9000748,Sep-20-21,-2369.73,-2369.73,OMR,Open,AAN,ok,,,Y21,13,ok,,x,x
C32668,A-4694441,10/09/2021,(3270.13),(3310.40),AED,CANCELLED,FJR,,,,Y21,m9,,x,,
C46810,A-7102605,2021-09-21,26827.34,26813.00909852375,USD,In Review,SHJ,ok,,,,,ok,,,
C65322,A-7656538,22 September 2021,28681.13401168771,28640.18,OMR,Open,DXB,ok,,,Y21,,ok,,x,
C93190,A-6136583,2021-09-10,-7379.76,-7379.76,GBP,In Review,DXB,ok,,,,,ok,,,
C91191,A-1556422,Sep-07-21,,,USD,,AAN,ok,,,Y21,,ok,,x,
C29565,A-1731253,24/09/2021,"4,624.84",(4626.00),EUR,Open,  DXB,!!!,,,Y21,,!!!,,,x
C16038,A-2447210,2021-09-13,21151.22,"21,170.76",USD,Closed,RAK,ok,,,Y21,m9,ok,,x,
C18283,A-5936728,Sep-04-21,28088.7023925028,28112.96,SAR,Open,AUH,needs review,,,Y21,m9,needs review,,,
,A-4098023,32/13/2023,18920.08,18871.526700664657,SAR,CANCELLED,FJR,needs review,,,,,needs review,,,
C88114,A-5324943,2021-09-09,15499.506241691239,15525.05,SAR,Open,AUH,needs review,,,,m9,needs review,,,
C52980,A-5005711,32/13/2023,(20303.75),not available,SAR,Open,DXB,ok,,junk,,72,ok,,,
C38011,A-7784614,2021-09-04,11724.51,"11,724.51",USD,Closed,RAK,needs review,,,Y21,m9,needs review,,,
,A-9935441,2021-09-27 00:00:00,5346.3,5334.75992407246,SAR,Pending,FJR,ملاحظة,,junk,Y21,m9,ملاحظة,,,
,A-4888770,28 September 2021,7414.587761654339,7425.65,GBP,Pending,DXB,,,,0,38,,,,
