buyer_id,,Date,Amount,Value !!,ccy_code,status,Region !!,REASON_TEXT,NOTES,,year_added_2021,new_col_202102, txn date  ,mystery_2021_02_40,mystery_2021_02_75,mystery_2021_02_70,mystery_2021_02_19,Unnamed: 0
C48150,,2021-02-11,17775.41,"17,775.41",AED,Closed,RAK,,,,Y21,,Feb-11-21,,,,,x
C75002,,32/13/2023,750.41,750.41,GBP,Closed,DXB,needs review,needs review,,,m2,2021-02-02,,,,x,
C82680,,11/02/2021,1947.97,1947.97,AED,Open,UAQ,ملاحظة,ملاحظة,,1,m2,2021-02-11 00:00:00,,x,,,
C59054,,23/02/2021,-6244.58,-6244.58,GBP,In Review,DXB,,,,,m2,Feb-23-21,,,x,,
C70852,,2021-02-17,19194.7,,SAR,CANCELLED,AAN,ملاحظة,ملاحظة,,Y21,35,Feb-17-21,,,,,
C63602,,2021-02-14 00:00:00,-7018.049408078982,-7060.71,SAR,Closed,AAN,ملاحظة,ملاحظة,,,,14/02/2021,x,,,,
,junk,32/13/2023,5143.01750209394,5172.03,SAR,CANCELLED,UAQ,needs review,needs review,,Y21,,2021-02-28,x,,,,
C83196,,28 February 2021,3611.73,3611.73,omr ,Open,SHJ,,,junk,Y21,m2,32/13/2023,,,,,
C18350,,Feb-13-21,13641.57,13619.95176206193,SAR,,  AAN,ok,ok,,0,m2,Feb-13-21,,x,,,
C64842,,Feb-18-21,24896.58,24896.58,USD,,DXB,ok,ok,,Y21,,Feb-18-21,,x,,,
,,10/02/2021,19010.964431890934,,EUR,CANCELLED,RAK,,,,Y21,,10/02/2021,,,,,
C82459,,2021-02-25 00:00:00,11167,11167,eur ,CANCELLED,SHJ,ok,ok,,0,m2,2021-02-25,,,,,
C67373,,2021-02-23,-7313.49,"-7,313.49",AED,Closed,AAN,ok,ok,,Y21,,23 February 2021,,,x,,
C88407,,2021-02-02,not available,6190.901251238346,USD,Closed,AUH,ok,ok,,,,2021-02-02 00:00:00,,,,,
C32756,,Feb-11-21,(9454.74),9440.41050618787,AED,,UAQ,ok,ok,,Y21,m2,11/02/2021,,,,,
,,32/13/2023,"15,149.99",15124.27,GBP,CANCELLED,SHJ,needs review,needs review,,0,m2,2021-02-23,,,,,
C51620,junk,2021-02-09 00:00:00,"7,765.95","7,765.95",EUR,,AUH,ok,ok,,Y21,36,2021-02-09,x,,,,
C26457,,07/02/2021,8197.11,,SAR,Pending,DXB,,,,Y21,m2,07 February 2021,,x,,,
C20909,,2021-02-28,13008.38,13008.38,USD,Pending,SHJ,needs review,needs review,,Y21,81,,,,,,
,,2021-02-14,-1830.23,-1830.23,SAR,Pending,UAQ,,,,1,72,2021-02-14,,,,,
C88924,,08/02/2021,-4492.38,not available,OMR,CANCELLED,SHJ,,,junk,0,,32/13/2023,,,x,,
C62162,,2021-02-24 00:00:00,-7940.01,,AED,,FJR,needs review,needs review,,1,m2,2021-02-24,,,,,x
C20460,,Feb-06-21,4961.454185095928,"5,001.77",GBP,Closed,SHJ,needs review,needs review,junk,Y21,,Feb-06-21,,,,x,
,,Feb-27-21,29086.7339741366,"29,061.59",EUR,,AUH,ok,ok,,1,m2,2021-02-27,,,,,x
C52667,,26/02/2021,20089.78,20089.78,AED,Pending,SHJ,!!!,!!!,,,,26 February 2021,,,,x,
C25162,,2021-02-15,20623.6,20585.90981101504,OMR,,AUH,ok,ok,,Y21,,2021-02-15 00:00:00,x,,,,
C60023,,13/02/2021,(3603.78),-3603.78,AED,Open,AUH,needs review,needs review,,0,24,13 February 2021,,,,,
C61814,,2021-02-04,27829.82,27829.82,USD,CANCELLED,FJR,needs review,needs review,,Y21,,2021-02-04,,,,x,
C37605,,2021-02-23,27080.0,27080,USD,,  SHJ,,,,,,23/02/2021,,,,,
,,26 February 2021,(16876.09),"16,876.09",GBP,Closed,SHJ,,,junk,,m2,26/02/2021,x,,,,
,junk,2021-02-02 00:00:00,"-2,354.40",(2338.55),OMR,CANCELLED,DXB,ok,ok,,Y21,48,2021-02-02 00:00:00,,,,,
C39482,,0000-00-00,,-4406.98,GBP,Closed,SHJ,needs review,needs review,,Y21,m2,Feb-17-21,,,,,
,,32/13/2023,22419.49,,AED,Open,DXB,needs review,needs review,,Y21,,04 February 2021,,,,,
C89452,,2021-02-12,23143.21150118646,"23,151.01",USD,Open,DXB,ok,ok,junk,,87,2021-02-12 00:00:00,,,,,
C94616,junk,2021-02-21,23179.31,23179.31,GBP,Closed,  SHJ,,,junk,,m2,21 February 2021,,,,,
,,32/13/2023,25258.4063330864,25316.250028375347,GBP,,UAQ,needs review,needs review,,1,46,2021-02-08,,,,,
C45044,junk,Feb-24-21,,17772.18,SAR,,SHJ,ok,ok,,,m2,2021-02-24 00:00:00,,,,,
,,2021-02-10,27432.77,not available,USD,CANCELLED,SHJ,needs review,needs review,junk,Y21,m2,2021-02-10 00:00:00,,,,,
C32913,,08 February 2021,-6065.55,-6065.55,SAR,CANCELLED,DXB,needs review,needs review,,Y21,m2,08/02/2021,,,x,,
C73998,,2021-02-20,3337.32,3337.32,AED,Open,AAN,,,,Y21,m2,20/02/2021,,,,x,
C96019,,32/13/2023,8490.49,8490.49,EUR,,FJR,ok,ok,,Y21,m2,2021-02-15 00:00:00,,,x,,
C60967,,27/02/2021,(5076.58),5076.58,AED,,FJR,ok,ok,,Y21,,,,x,,,x
C75841,,32/13/2023,"-2,348.41",-2376.2324763749702,AED,Closed,SHJ,ok,ok,,,m2,2021-02-23,,,,,x
C15359,,2021-02-06 00:00:00,2609.090808665761,2670.353201996988,GBP,Open,SHJ,ok,ok,,Y21,m2,Feb-06-21,,,,,
C34960,,Feb-21-21,,,EUR,Pending,FJR,needs review,needs review,,0,m2,21/02/2021,,,,,
C47965,,05/02/2021,22952.27,22952.27,SAR,,RAK,,,,Y21,m2,05/02/2021,,,,,
C25611,,2021-02-18,"-6,514.55",,USD,Pending,DXB,ok,ok,,0,,18/02/2021,,,,,
C33165,,Feb-09-21,24955.37390375217,,GBP,Open,FJR,,,,,,09/02/2021,,,,,x
C84666,,2021-02-07 00:00:00,(3786.09),(3786.09),usd ,,SHJ,,,,Y21,m2,2021-02-07,,x,,,
,,09 February 2021,-3959.12,-3959.12,OMR,,AAN,,,,Y21,,2021-02-09,,,x,,
C13145,junk,08/02/2021,2900.16,,omr ,CANCELLED,FJR,,,,Y21,m2,08/02/2021,,,x,,
,,10 February 2021,27447.35320132035,,OMR,,AUH,,,,,m2,10/02/2021,,,,,
C28116,,11 February 2021,10861.82339891962,10889.89,GBP,CANCELLED,RAK,needs review,needs review,,Y21,,2021-02-11,,,,x,
C48626,,2021-02-05,534.31,534.31,OMR,Closed,AUH,!!!,!!!,,Y21,13,2021-02-05,,x,,,
C79133,,Feb-05-21,not available,,OMR,,AUH,ok,ok,,Y21,m2,2021-02-05,,,,,
C17339,,20 February 2021,14993.17,14993.17,AED,,FJR,needs review,needs review,,1,,20/02/2021,,,,,
C36440,,0000-00-00,29113.22160831905,29113.2,GBP,Open,RAK,!!!,!!!,,Y21,m2,32/13/2023,,,,,
C14903,,0000-00-00,(25637.75),25637.75,AED,,DXB,,,junk,,,2021-02-28,,,,,
C84304,junk,2021-02-05,-2580.34,-2580.34,EUR,In Review,UAQ,!!!,!!!,,Y21,m2,2021-02-05,x,,,,
C57641,,,,26871.294529610004,USD,CANCELLED,AAN,needs review,needs review,,Y21,m2,Feb-02-21,x,,x,,
C94211,,2021-02-15 00:00:00,19807.57,19807.57,SAR,,SHJ,ok,ok,,Y21,,2021-02-15,,,,,
C37973,,16/02/2021,,,OMR,Closed,AUH,ok,ok,,Y21,,32/13/2023,,,,,
C61005,,19/02/2021,13999.99453107594,,USD,Pending,FJR,!!!,!!!,,Y21,,2021-02-19,,,,,
C55624,,07/02/2021,,-7458.017643513989,EUR,Open,AAN,,,,0,,07/02/2021,,,,,
,,28/02/2021,15417.89,15417.89,SAR,Open,SHJ,,,,0,74,,,x,,,
C39351,,12 February 2021,23872.39456742218,23911.68291248532,SAR,,DXB,ok,ok,,Y21,m2,12 February 2021,x,,,,
,,2021-02-06,-4216.04,-4216.04,USD,In Review,AUH,ملاحظة,ملاحظة,,,,Feb-06-21,,,,,
C92772,,2021-02-21,,,USD,In Review,UAQ,ok,ok,,,m2,2021-02-21,x,,,,
C19643,,14 February 2021,6259.67,not available,eur ,,SHJ,,,,Y21,32,2021-02-14,,,,,
,,Feb-12-21,,-4829.18,OMR,Closed,AAN,ok,ok,junk,,,2021-02-12,,,,,
C68478,,14/02/2021,,15077.23,SAR,Closed,RAK,needs review,needs review,,Y21,,2021-02-14,,,,,
C51758,,,22219.1,"22,219.10",USD,In Review,AUH,needs review,needs review,,0,23,2021-02-01,,,,,
C52844,,2021-02-20 00:00:00,-7322.22,-7299.89463304028,GBP,Open,SHJ,ok,ok,,Y21,,20/02/2021,,,,,x
,junk,04/02/2021,,(23367.35),USD,Open,AAN,,,,Y21,m2,04/02/2021,,x,,,
C25715,,15 February 2021,24305.84,24326.97813764065,SAR,,SHJ,ملاحظة,ملاحظة,,0,94,15 February 2021,,,,,
C60470,,32/13/2023,,(14439.88),GBP,In Review,UAQ,ok,ok,,1,m2,15/02/2021,x,,,x,
,,Feb-08-21,17151.65,"17,151.65",SAR,Pending,AAN,ok,ok,,Y21,m2,08/02/2021,,,,,
,,21/02/2021,not available,-6643.86,EUR,Closed,AUH,needs review,needs review,,Y21,89,21/02/2021,,,,,
C41276,,28 February 2021,26195.03,26195.03,USD,Open,FJR,needs review,needs review,,Y21,,2021-02-28,,,,,
C22308,,Feb-25-21,,5329.68,GBP,Pending,FJR,needs review,needs review,,Y21,m2,25/02/2021,,,,,
C66455,junk,23/02/2021,6355.57,6333.19471311489,AED,Pending,FJR,ملاحظة,ملاحظة,,,m2,2021-02-23,,,,,
,,2021-02-01,11881.07,11881.07,EUR,In Review,RAK,ملاحظة,ملاحظة,,Y21,,2021-02-01,,,x,,
C21272,,32/13/2023,14238.54,14238.54,AED,Pending,DXB,ok,ok,,Y21,96,2021-02-05 00:00:00,,,,,
C92355,,19/02/2021,23686.39,23686.39,AED,Closed,RAK,needs review,needs review,,1,,Feb-19-21,,,,,
