 ClientNumber  #,GL_ACC,date,Amt,amount, ISO_CURR  , txn_status  ,Area,OPS_COMMENT,notes,UNUSED,year_added_2021,new_col_202101,Commentary,mystery_2021_01_47,mystery_2021_01_29,mystery_2021_01_18,mystery_2021_01_66,mystery_2021_01_64,Unnamed: 0
C30033,A-8082668,Jan-04-21,"6,501.53",6501.53,SAR,In Review,AAN,!!!,!!!,x,0,24,!!!,,,,,x,
C76540,A-3564217,21 January 2021,12496.4,12541.0949445298,GBP,Open,  RAK,ok,ok,,Y21,,ok,,,,,,x
,A-4374754,2021-01-14,29815.68,"29,815.68",OMR,Pending,  SHJ,,,,Y21,m1,,,,,,,
C85525,A-8935169,19/01/2021,,-4316.63,SAR,Pending,SHJ,needs review,needs review,,0,m1,needs review,,,x,,,
,A-4965789,2021-01-27 00:00:00,"10,319.96",10291.62,SAR,Open,  DXB,needs review,needs review,,Y21,m1,needs review,,,,,,
C76562,A-4117625,02/01/2021,17658.08,"17,628.51",USD,CANCELLED,AUH,!!!,!!!,,0,15,!!!,,,,,,
C19602,A-9487336,0000-00-00,,,AED,Closed,AAN,ok,ok,,,48,ok,,,,,,
,A-1852264,16/01/2021,23515.23,23555.622857155988,AED,Open,AAN,,,,Y21,66,,,,x,,x,x
C99399,A-2724590,2021-01-07,,25628.19493165744,SAR,In Review,FJR,ok,ok,x,,,ok,x,,x,,,
C39219,A-4240180,2021-01-08,,24845.41,EUR,Pending,FJR,needs review,needs review,,,,needs review,,x,,,,
C80575,A-4305700,2021-01-26 00:00:00,"28,057.23",28057.23,EUR,In Review,AAN,ملاحظة,ملاحظة,,0,48,ملاحظة,,,,x,,
C86019,A-6406444,2021-01-26 00:00:00,,17673.83,GBP,CANCELLED,  UAQ,,,,0,46,,,x,,,,
C60328,A-5093379,2021-01-23,-7789.3,-7789.3,AED,,SHJ,ok,ok,,Y21,,ok,x,x,,,,
C72216,A-5147994,28/01/2021,21551.64,"21,551.64",SAR,,  DXB,ok,ok,,0,m1,ok,,,,,,
C12560,A-7381734,2021-01-23,"5,366.83",5366.83,SAR,,UAQ,needs review,needs review,,Y21,m1,needs review,,,,,,
C33819,A-7360307,15 January 2021,,,sar ,Pending,UAQ,!!!,!!!,x,Y21,20,!!!,,,,,,
C58351,,2021-01-09 00:00:00,-3892.25,"-3,857.22",AED,Pending,RAK,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,,,,,,x
C74251,A/83308,Jan-27-21,9479.34746190637,,USD,CANCELLED,DXB,,,,1,,,,,,,,
C54608,A-5635017,09/01/2021,28026.38,28026.38,AED,Closed,FJR,needs review,needs review,,0,,needs review,,,,,,
C25814,A-6294016,Jan-08-21,28133.35,28133.35,OMR,Closed,  DXB,ok,ok,,Y21,,ok,,,,,,x
,A-5770422,2021-01-16 00:00:00,,4946.83,AED,Pending,UAQ,needs review,needs review,,Y21,19,needs review,,,,,,
C50026,,2021-01-14,"-4,229.12",-4229.12,USD,,DXB,ok,ok,x,Y21,32,ok,,,,,,x
C65723,A-4771676,07/01/2021,2094.03,2094.03,USD,Open,AUH,ok,ok,,1,,ok,x,,,,,
C85392,A-1348050,28 January 2021,13894.391039496035,13897.39,USD,CANCELLED,RAK,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,,,,,,
,A/86201,Jan-04-21,"9,548.91",not available,AED,Closed,RAK,needs review,needs review,,1,m1,needs review,,,,,,
C30181,A-5896624,,(7788.63),,SAR,CANCELLED,DXB,needs review,needs review,,Y21,86,needs review,,,,,,
C81228,,18 January 2021,"1,074.61",1122.6918138659785,sar ,Closed,UAQ,,,,Y21,,,x,x,,,,
,A-2255409,14/01/2021,(2070.87),2024.459909983769,GBP,,SHJ,ملاحظة,ملاحظة,,,m1,ملاحظة,,,,,x,
