ClientNumber,ACC_KEY,VALUE_DATE,,NET_VALUE, ISO_CURR  ,Approval Status#,branch_region,REASON_TEXT, NOTES  ,,year_added_2021,new_col_202105,mystery_2021_05_8,mystery_2021_05_98,mystery_2021_05_74
C49771,A-6066277,0000-00-00,junk,not available,OMR,In Review,  RAK,,,,,m5,x,,
,A-3631072,32/13/2023,,(19628.80),GBP,,AUH,needs review,needs review,junk,,61,x,,
,A-8707020,19 May 2021,,,OMR,In Review,DXB,!!!,!!!,,,34,,,
C66969,A-4771454,2021-05-23 00:00:00,,22420.84,OMR,Open,RAK,!!!,!!!,,Y21,44,,,x
C47538,A-5513430,May-26-21,,8782.39,SAR,CANCELLED,  SHJ,needs review,needs review,junk,Y21,86,,,
C29551,A-8339416,32/13/2023,,"29,684.43",USD,Open,  DXB,ok,ok,junk,1,m5,,x,
C59951,A-2451923,May-02-21,,-2427.76,usd ,Pending,SHJ,needs review,needs review,,Y21,m5,x,,
C63502,A-4504190,25 May 2021,,(8510.07),USD,Pending,DXB,ok,ok,,1,,,,
C40549,A-8911046,2021-05-02,,25643.16,AED,In Review,FJR,ملاحظة,ملاحظة,,0,,,,x
C79910,A-7687795,May-07-21,,-4865.4,EUR,,SHJ,,,,Y21,m5,,,
C92291,A-7199669,21/05/2021,,"3,493.17",OMR,Closed,AUH,needs review,needs review,junk,Y21,m5,,,
C44481,,0000-00-00,,108.62,GBP,Open,DXB,ملاحظة,ملاحظة,,,96,x,,
C20577,A-1500857,12/05/2021,,7052.66,SAR,,FJR,needs review,needs review,,Y21,m5,,,
C10127,A-6619513,2021-05-03 00:00:00,,,SAR,Closed,DXB,ok,ok,junk,1,m5,,,
C47486,A-8306137,2021-05-11,,-461.32,SAR,Open,RAK,needs review,needs review,,Y21,m5,,,
C36855,A/22284,2021-05-15,,-228.81,GBP,CANCELLED,AAN,needs review,needs review,junk,Y21,m5,,,
C30218,A-6103743,32/13/2023,junk,"21,242.85",gbp ,,FJR,ok,ok,,1,m5,,,
C96750,A-2802583,2021-05-22 00:00:00,junk,(20546.63),USD,,AAN,needs review,needs review,,Y21,,,,
C13931,A-7526187,May-19-21,,,GBP,Closed,SHJ,needs review,needs review,,1,m5,,,
C61782,A-6425250,2021-05-02,junk,,GBP,,RAK,,,,Y21,,,x,
C14219,A-9462493,32/13/2023,,11802.29,AED,Closed,AAN,,,junk,1,m5,,,
C34413,,2021-05-03 00:00:00,,"1,034.11",GBP,,  FJR,needs review,needs review,,,,,,
C38400,A-7979051,07/05/2021,,7241.52,AED,,DXB,needs review,needs review,,1,m5,,,
,A-2554284,15 May 2021,,6621.14,OMR,,AUH,ملاحظة,ملاحظة,,Y21,61,,,
C20680,A-9262026,,junk,not available,OMR,Pending,  RAK,!!!,!!!,junk,0,,,x,
C46627,A-3737930,32/13/2023,,25118.27,EUR,Open,FJR,ok,ok,,Y21,m5,,,x
C64331,A-3202986,2021-05-06 00:00:00,,723.0,AED,CANCELLED,  RAK,!!!,!!!,,,m5,,,x
C94550,A-4718703,23 May 2021,,4364.349411862157,GBP,,FJR,needs review,needs review,,1,m5,,x,
C86372,A-2807534,01 May 2021,,24686.76,AED,Pending,AAN,ok,ok,junk,Y21,,x,,
C63355,A-2264611,24/05/2021,,26467.4,EUR,Open,UAQ,,,,Y21,m5,x,,
C27262,A-8662717,2021-05-27,junk,8423.54,GBP,Closed,  FJR,ملاحظة,ملاحظة,,1,15,,x,
C33480,A-4196639,2021-05-14,junk,12278.386906286318,SAR,CANCELLED,UAQ,needs review,needs review,junk,,m5,,,
C11877,A-7499837,2021-05-19,,8947.63,SAR,Open,AUH,,,,Y21,m5,,,
C95257,A-7640993,May-16-21,,,OMR,CANCELLED,UAQ,,,,Y21,,,,x
C78288,A-9765768,01/05/2021,,6838.2,AED,CANCELLED,DXB,ok,ok,,Y21,m5,,,
C91746,A-3506745,2021-05-27,,19602.13303838848,OMR,Open,AUH,ملاحظة,ملاحظة,,,m5,,,
C77108,A-4302334,2021-05-16,junk,9691.9,SAR,In Review,UAQ,needs review,needs review,,Y21,m5,,,
,A/19740,May-21-21,,,SAR,Pending,SHJ,needs review,needs review,,,m5,,,
C74748,A-3501378,2021-05-24 00:00:00,,20418.38,USD,,AAN,ok,ok,,Y21,,,,
C30819,A-5395559,16/05/2021,,"8,535.63",SAR,,  AUH,needs review,needs review,,Y21,,,,
C34848,A-3286132,2021-05-20 00:00:00,,,AED,CANCELLED,UAQ,ok,ok,,Y21,m5,,,
C37988,A-9033348,07/05/2021,,17973.96,eur ,Closed,DXB,,,,,m5,,,
C81137,A-7934958,May-12-21,,12165.96,GBP,Open,UAQ,!!!,!!!,,Y21,m5,,,x
C38100,A-3808155,2021-05-07,,,EUR,In Review,AUH,!!!,!!!,,Y21,m5,,,
C38990,A-7897618,2021-05-01,junk,-7509.668116509046,OMR,CANCELLED,SHJ,!!!,!!!,,Y21,,,x,
C82823,A-8388081,32/13/2023,,18955.98339480452,USD,In Review,  DXB,ok,ok,,,56,,,
,A-4449126,2021-05-09,,not available,GBP,In Review,AUH,ok,ok,,,m5,,,
C59317,A-9875603,2021-05-08 00:00:00,,7651.389607745708,EUR,In Review,AAN,!!!,!!!,,1,m5,,,
C66055,A-8989997,2021-05-15,,14.3776443053766,GBP,CANCELLED,AUH,ok,ok,,Y21,,,,
C89666,A-9220978,07/05/2021,,,AED,Open,  AUH,ok,ok,junk,Y21,,,,x
C61613,A-7450393,2021-05-17 00:00:00,,,AED,Pending,UAQ,ملاحظة,ملاحظة,,Y21,m5,,,
C33753,A-8685126,,,501.40,USD,Open,AAN,needs review,needs review,junk,1,,,,
C71198,A-2939974,16 May 2021,,17749.90105338989,AED,,SHJ,ملاحظة,ملاحظة,,0,,,,
C78648,A/26276,32/13/2023,,11036.27,SAR,,UAQ,,,,,,,x,
C87925,A-5426463,12 May 2021,,,OMR,CANCELLED,SHJ,ملاحظة,ملاحظة,,,m5,,,
C74900,A-1093283,2021-05-15,,,OMR,In Review,RAK,needs review,needs review,,0,m5,,,
C86067,A-3027788,13/05/2021,,6408.923642166376,OMR,In Review,AUH,,,,,13,,,
C16014,A-3368143,May-04-21,,,GBP,CANCELLED,FJR,ملاحظة,ملاحظة,,Y21,,,x,
C35764,A-8961410,2021-05-16 00:00:00,,14596.14,AED,,UAQ,needs review,needs review,,Y21,m5,,,
C72360,A-8874095,15/05/2021,,29842.11,AED,CANCELLED,  AUH,ok,ok,,,,,,
C63725,A-8840700,2021-05-06 00:00:00,,24707.26,SAR,Pending,SHJ,,,,Y21,,,,
C74485,A-7105489,32/13/2023,,(11794.86),eur ,,AUH,,,,,41,,,x
,A-8169169,2021-05-12,,,SAR,In Review,DXB,,,,Y21,44,,,x
C91289,A-4098798,2021-05-09,,-7624.15,AED,,SHJ,needs review,needs review,,,,,,
C82197,A-6292385,May-02-21,,-7089.71,USD,,AUH,needs review,needs review,,Y21,m5,,,
C59951,A-1357871,2021-05-13,,,USD,Pending,  UAQ,!!!,!!!,,Y21,,,,
