 CUSTOMER ID  ,Account ID,POSTING_DT, Value  , NET_VALUE  , currency_code   !!,txn_status,branch_region,NOTES,OPS_COMMENT,,year_added_2022,new_col_202212,POSTING DATE,mystery_2022_12_44,mystery_2022_12_4,mystery_2022_12_83,mystery_2022_12_45
C29554,A-4506962,2022-12-03,11373.4,11373.4,OMR,Pending,DXB,ok,ok,junk,Y22,m12,03/12/2022,,x,x,
C31438,A-2699624,2022-12-12 00:00:00,-3243.98,-3243.98,USD,,AUH,,,,,87,2022-12-12,,,,x
,A-4693279,18/12/2022,,22052.53,eur ,,RAK,ok,ok,,0,m12,2022-12-18,,x,,
C93111,A-2205740,Dec-18-22,,1503.78,GBP,Closed,AUH,,,,Y22,m12,Dec-18-22,,,,
C49272,A-4907364,2022-12-05,-5971.01,-6007.529212121392,AED,,RAK,,,,,m12,Dec-05-22,,,,
C80714,A-9631165,10 December 2022,(3060.16),-3048.995091714915,USD,In Review,UAQ,,,,,,2022-12-10,,,,
C97530,A/49647,2022-12-08,(6038.73),6094.501164358339,SAR,Open,AAN,,,,1,77,08/12/2022,,,,
C39984,A-6236923,23/12/2022,-6650.18,-6650.18,SAR,Closed,SHJ,ok,ok,,,m12,2022-12-23,,x,,
C39579,A-7615902,,19864.43254225715,19872.45,EUR,Open,SHJ,!!!,!!!,,0,,2022-12-20 00:00:00,,,,
,A-4212944,32/13/2023,"18,473.97",18475.56,AED,In Review,DXB,,,,Y22,53,2022-12-13,,x,,
C63732,A-1781880,Dec-25-22,21448.17,,GBP,Open,AAN,needs review,needs review,,,m12,25/12/2022,x,,x,
,A-8966927,Dec-16-22,11224.95,"11,224.95",gbp ,In Review,  SHJ,ok,ok,,,78,Dec-16-22,,,,x
C84738,A-8665404,24 December 2022,6843.992899351369,6784.472525635641,SAR,Pending,UAQ,needs review,needs review,,Y22,m12,24 December 2022,,,,
C50778,A-5665936,2022-12-01,2608.62,2608.62,USD,Closed,RAK,needs review,needs review,,1,15,2022-12-01 00:00:00,,x,,
C44763,A-1540748,03/12/2022,9718.72,9718.72,EUR,CANCELLED,DXB,ملاحظة,ملاحظة,,,m12,03/12/2022,,,,
C73834,A-4991741,2022-12-21,18244.49439938391,,SAR,Closed,AAN,ok,ok,junk,0,,Dec-21-22,,x,,
C31545,A-9018872,27/12/2022,25952.69,26002.29101310804,OMR,In Review,UAQ,ok,ok,,Y22,m12,Dec-27-22,,,x,
C68654,A-2191824,,,-4147.794690702381,AED,Pending,FJR,ok,ok,,0,m12,Dec-10-22,,x,,
C11819,A-2720739,2022-12-27,2738.73,"2,738.73",EUR,Open,RAK,ok,ok,,,m12,2022-12-27,,,,
C28684,A/71567,06 December 2022,,18480.3,SAR,Closed,RAK,needs review,needs review,,Y22,m12,06 December 2022,,,,
C35024,A-8847420,07/12/2022,-140.80578480514413,,SAR,,RAK,ok,ok,junk,Y22,m12,2022-12-07 00:00:00,,,x,
C96422,A-9549611,19 December 2022,,,USD,Closed,SHJ,,,junk,,,19/12/2022,,,,
C54249,A-7896946,,1613.417580717778,,EUR,In Review,FJR,ok,ok,,,,2022-12-11,,,,
C86857,A-1422083,2022-12-12,,,SAR,In Review,UAQ,ملاحظة,ملاحظة,,Y22,,2022-12-12 00:00:00,,,,
,A-2874878,2022-12-16,"19,302.74",19252.8662695991,AED,,UAQ,needs review,needs review,,,,Dec-16-22,,,,
C30204,A-1650419,03 December 2022,11746.18534633546,11672.73658543346,OMR,Pending,DXB,needs review,needs review,,,m12,2022-12-03,,,x,
C55854,A-3007670,14/12/2022,19642.5,"19,642.50",USD,Open,UAQ,needs review,needs review,,,m12,2022-12-14,,,,
C78873,A-9587984,08/12/2022,9679.92,9679.92,EUR,Pending,AAN,,,junk,Y22,m12,Dec-08-22,,,,
C26664,,2022-12-14,13497.99,13497.99,SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,Y22,47,14/12/2022,,,,
C95853,A/86206,2022-12-26 00:00:00,28735.88317527954,28742.28,OMR,,AAN,ok,ok,,,m12,Dec-26-22,,,,
C50802,A-4220133,2022-12-12 00:00:00,(23904.00),23969.38333443541,GBP,In Review,SHJ,ok,ok,junk,1,m12,12/12/2022,,,,
C47555,A-9620556,20/12/2022,4771.335572765604,4776.66,GBP,Open,UAQ,!!!,!!!,junk,,92,2022-12-20 00:00:00,,,,
,A-2750762,2022-12-12,,-120.86,AED,,AAN,,,,,,12 December 2022,,,x,
C91093,A-7155058,24 December 2022,"13,946.82",13971.3777057771,USD,In Review,AUH,ok,ok,,Y22,,Dec-24-22,,x,,
C81573,A/24193,2022-12-22 00:00:00,,12273.78,SAR,In Review,AUH,needs review,needs review,,,m12,2022-12-22,,,,
C29439,A-4683469,09 December 2022,11166.0031899713,,GBP,Open,SHJ,ok,ok,,,m12,Dec-09-22,,,,
C19823,A-7975955,32/13/2023,,,USD,,FJR,ملاحظة,ملاحظة,,Y22,29,2022-12-19,,,x,
,A-5777835,24/12/2022,-4850.292455835738,-4852.46,aed ,CANCELLED,DXB,ok,ok,,,m12,24/12/2022,,,,
,A-8389418,,21097.93394831041,21112.97,OMR,Closed,AAN,,,,0,,32/13/2023,,,x,
C94453,A-9807500,32/13/2023,21787.78,21830.90414140779,AED,Pending,  AUH,ok,ok,,Y22,m12,2022-12-01,,,,
C98296,A-4680162,02/12/2022,13471.25,not available,SAR,Closed,FJR,needs review,needs review,,Y22,m12,2022-12-02,,,x,
C66884,A-9139657,Dec-08-22,"5,730.16",(5739.41),EUR,CANCELLED,AAN,needs review,needs review,,Y22,m12,Dec-08-22,,,x,
C80777,A-6253874,,7975.41,8009.027652027248,EUR,Open,UAQ,ملاحظة,ملاحظة,,Y22,,Dec-20-22,,,,
C89489,A-8123930,17 December 2022,1427.366493266166,,EUR,,UAQ,,,,Y22,,2022-12-17,,,,
C48970,A-8081927,2022-12-03,9824.3,(9824.30),AED,Open,SHJ,,,,Y22,75,2022-12-03,,,,
C81557,A-6221099,10 December 2022,"29,669.22",,EUR,,UAQ,ok,ok,,,,10/12/2022,,,,
C73921,A/58572,2022-12-04,,6605.91,USD,,UAQ,ok,ok,,,25,2022-12-04,,,,
C37103,A-4285257,28 December 2022,not available,19689.54,AED,Pending,AAN,ok,ok,,1,29,0000-00-00,,,x,
