ClientNumber,Acct,_POSTING_DATE__,Value,,currency_code,Status,BRANCH,Commentary,ops_comment,,year_added_2022,new_col_202202,status,mystery_2022_02_30,mystery_2022_02_81,mystery_2022_02_36
C17287,A-5246463,Feb-19-22,15552.23,,USD,,DXB,!!!,!!!,,Y22,m2,,,,
C83638,A-5811234,19/02/2022,"-5,109.32",,AED,CANCELLED,RAK,needs review,needs review,,Y22,m2,CANCELLED,,,
C21350,A-7307957,2022-02-17 00:00:00,,,GBP,Closed,AAN,ok,ok,,,m2,Closed,,x,
C23991,A-3593404,2022-02-04 00:00:00,7278.49,,GBP,Pending,AUH,,,,Y22,,Pending,x,,
C19014,A-4626989,2022-02-18,23651.25739003067,,OMR,Pending,FJR,needs review,needs review,,Y22,m2,Pending,x,,
C62730,A/38585,22/02/2022,24705.29,,OMR,In Review,UAQ,,,,,m2,In Review,,,
C84231,A-9603455,08 February 2022,138.5880011157986,,GBP,CANCELLED,UAQ,ok,ok,,Y22,,CANCELLED,,,
,A-2019166,2022-02-02,26768.3,,USD,Closed,  AUH,needs review,needs review,,,,Closed,x,,
C35939,A-1428938,32/13/2023,-6608.31,,SAR,Open,AUH,,,,1,20,Open,,,
C65914,A-2977046,32/13/2023,5856.86,,EUR,Closed,AUH,,,,,,Closed,,,
C84393,A-6706837,0000-00-00,(5959.44),,EUR,Open,FJR,ok,ok,,0,46,Open,,,
C67120,A-4333138,2022-02-23,,,SAR,CANCELLED,DXB,ok,ok,,1,,CANCELLED,,,
C80514,A-2749186,2022-02-17,13428.39,,AED,,SHJ,needs review,needs review,,Y22,52,,,,
C29822,,04 February 2022,19495.83,,USD,Pending,RAK,,,,Y22,22,Pending,,,
C75110,A-3430040,25 February 2022,,,GBP,Closed,SHJ,ok,ok,,0,m2,Closed,,,
C34122,A-9438179,24/02/2022,7718.44,,SAR,Pending,FJR,,,,Y22,87,Pending,,,
,A-4965415,12/02/2022,,,OMR,,  AUH,ok,ok,,0,m2,,,,
C58162,A-7669113,2022-02-11 00:00:00,29597.18,,SAR,CANCELLED,SHJ,needs review,needs review,,Y22,m2,CANCELLED,,,x
C20567,A-8339316,32/13/2023,-3953.006450914206,junk,OMR,,FJR,,,,0,m2,,,x,x
C55529,A-8534012,03/02/2022,28048.66,,USD,Closed,  UAQ,needs review,needs review,,Y22,m2,Closed,,,
C70682,A-2053431,18 February 2022,5786.24,,OMR,In Review,UAQ,!!!,!!!,,Y22,37,In Review,,,
C83935,A-6742700,2022-02-07,not available,,USD,Open,AAN,ok,ok,,0,18,Open,x,,
C48665,A/78664,2022-02-27,-4568.5,,EUR,CANCELLED,UAQ,needs review,needs review,,Y22,,CANCELLED,,,
,A-6790908,11/02/2022,not available,,OMR,Closed,FJR,!!!,!!!,,1,m2,Closed,,,
C13047,A-5831531,2022-02-07,17342.95,,GBP,Closed,  AUH,,,,Y22,m2,Closed,,,
C71493,A/17625,2022-02-28,16924.77370471854,,EUR,,SHJ,ok,ok,,Y22,,,,,
C39820,,0000-00-00,24072.39,,aed ,Closed,RAK,needs review,needs review,,Y22,m2,Closed,,,
C71255,A-7473428,Feb-27-22,-5508.15,,GBP,CANCELLED,SHJ,needs review,needs review,,0,22,CANCELLED,,,
