ACC_KEY,Unnamed: 0, net_value  , NET_VALUE  , currency  , txn_status  ,branch,Notes,Unnamed: 0,UNUSED,YEAR_ADDED_2022,new_col_202210, Date  ,mystery_2022_10_84,mystery_2022_10_62,mystery_2022_10_98,Unnamed: 0
A-2296526,,12686.06852794773,12708.15,EUR,Closed,AUH,ok,,x,,m10,Oct-01-22,,,,
A-6036270,,6265.21,6237.959469599802,OMR,In Review,AAN,ok,,,Y22,43,2022-10-28,,,,
A-3185625,,26849.9,,sar ,In Review,AAN,,,,1,m10,05/10/2022,,,,
A-4171343,,,4064.037952980511,OMR,,SHJ,,,,Y22,86,2022-10-14,,,,
A-1788533,,-522.27,-571.9340786667748,OMR,CANCELLED,DXB,needs review,,,Y22,,Oct-15-22,,,,x
A-8745238,x,14809.17,14809.17,OMR,,DXB,ok,,x,Y22,m10,01 October 2022,,,,
A-7899178,,6342.365925949576,6286.24143202658,OMR,Pending,AAN,ok,,,Y22,m10,0000-00-00,,,,
A-1017417,,,8426.52,EUR,,RAK,,x,,Y22,73,Oct-04-22,,,,
A-8427572,,11187.82521206061,11189.489440819783,OMR,Pending,DXB,!!!,,,Y22,m10,27 October 2022,,,x,
A-7673953,,18455.79,(18455.79),AED,,UAQ,,,,Y22,m10,20/10/2022,,,x,
A/96567,,3318.66,,SAR,Pending,SHJ,ملاحظة,,,,30,2022-10-02 00:00:00,,x,,
A-4487367,,(27318.42),not available,OMR,Open,AUH,,,,Y22,30,21/10/2022,,,,
A/28282,,-6494.02,-6456.349749420834,SAR,Open,AAN,ok,,,Y22,87,01 October 2022,,,,
A-8156126,,26.78,26.78,USD,Pending,RAK,needs review,x,,,61,32/13/2023,,x,,
A-3010531,,11394.81,11438.52867697475,AED,Open,AAN,ok,,,,17,23 October 2022,,x,,
A-5121687,,1448.93,not available,SAR,CANCELLED,DXB,!!!,,,0,,32/13/2023,,,,
A-3892551,,-6758.12,(6758.12),EUR,Open,FJR,needs review,,,Y22,91,13 October 2022,,,x,
A-1722198,,not available,67.63,GBP,CANCELLED,RAK,,,,Y22,62,Oct-07-22,,,x,
A-3618612,,22787.26,22787.26,OMR,In Review,DXB,ok,,,,m10,2022-10-05,,,,
A-5968620,,"3,657.53",3657.53,USD,,DXB,needs review,,,1,m10,Oct-11-22,,,,x
A-1331925,,12000.255734870663,11954.63,SAR,Open,UAQ,ok,,,,m10,19/10/2022,,x,,
A-1046735,,18131.75,18131.75,gbp ,In Review,DXB,ملاحظة,,,,26,28/10/2022,,x,,
A-1684793,,,,AED,Open,  FJR,needs review,,,Y22,m10,2022-10-27 00:00:00,,,,
A-3455860,,16827.27302923898,16866.79,USD,CANCELLED,SHJ,ok,,,Y22,,06/10/2022,,,,
A-5814132,,4741.09,,GBP,Closed,  UAQ,ok,,,Y22,m10,Oct-03-22,,x,,
A-6650155,,not available,-242.83,AED,CANCELLED,  SHJ,needs review,,x,0,m10,26/10/2022,,,x,x
A-9218902,,26785.76095793694,26808.74,EUR,Closed,SHJ,ok,,,Y22,,13 October 2022,,,,
A-4586005,,22133.87,22133.87,USD,In Review,AUH,ملاحظة,,,Y22,22,2022-10-09,,,x,x
A-3796572,,,21765.25,OMR,Open,FJR,,,,Y22,m10,2022-10-01,,,,
A-5237509,,12709.36,,USD,,DXB,ok,,,Y22,72,,,,,
A-4491874,,22656.89177684972,(22609.21),SAR,,RAK,ok,,,Y22,10,02 October 2022,,,,
A-7324762,,25073.62,25073.62,EUR,,AAN,ok,,,Y22,,24 October 2022,,,,
A/40442,,"20,446.21","20,416.01",OMR,CANCELLED,RAK,ok,,,Y22,m10,2022-10-25 00:00:00,,,,
A-3874656,,-3115.58,-3115.58,SAR,CANCELLED,DXB,ok,,,,m10,Oct-17-22,,x,,x
A/79558,,"6,604.32",,USD,Open,FJR,needs review,,,Y22,m10,2022-10-13,,,,
A-8714011,,27696.43,27696.43,USD,Pending,SHJ,ok,,,Y22,14,20/10/2022,,,,
A-8529406,,8337.248412500769,8391.283043491107,AED,,UAQ,ok,,,Y22,,2022-10-11,,,,
A-9408663,,19498.754689853722,19514.85043405636,AED,,UAQ,ok,,,,m10,2022-10-06 00:00:00,,,,
A-2587338,,-1771.97,"-1,748.72",OMR,Closed,FJR,,,,Y22,m10,Oct-19-22,,,,
A-5705814,,,,SAR,,UAQ,ok,,,Y22,32,2022-10-10 00:00:00,,,,x
A-1206658,,26129.38109952409,not available,GBP,CANCELLED,FJR,needs review,,,,,2022-10-12,,x,x,
A-8254525,,,23198.21,aed ,In Review,DXB,ملاحظة,,,,,,,,,x
A-4463570,,"17,646.83",17646.83,GBP,Pending,RAK,ok,,,Y22,,Oct-27-22,,,,
A-6266130,,20829.95879210549,20878.2,EUR,,RAK,ok,,,0,,2022-10-20,,,,
A/98470,x,,29038.43,SAR,Closed,DXB,!!!,,,,,04/10/2022,,,x,
A/8381,,1615.0918444347858,1577.6487920793902,SAR,Open,DXB,!!!,,,0,,25 October 2022,,,,
A-3075192,,3685.3,3713.224524289278,OMR,Pending,RAK,,,,1,m10,2022-10-14,,,,
A-4885947,,12367.34,"12,367.34",OMR,CANCELLED,AAN,,,,Y22,m10,24/10/2022,,x,,
A/77682,,,3581.0679950086615,EUR,,DXB,needs review,,,Y22,m10,0000-00-00,,,,
