CUST IDENTIFIER,Unnamed: 0, POSTING DATE  ,gross amount,AMOUNT,CCY_CODE, status  , Region  ,REASON_TEXT#, REASON_TEXT  ,,year_added_2022, new_col_202204 , Commentary  ,mystery_2022_04_85,mystery_2022_04_30,mystery_2022_04_15
C47846,,2022-04-03,12418.15963956105,(12440.68),OMR,CANCELLED,AAN,needs review,needs review,,Y22,74,needs review,,x,
C42590,,32/13/2023,6310.31,6310.31,USD,Open,FJR,!!!,!!!,,0,m4,!!!,x,,
C21917,,2022-04-24,7279.343954824474,7237.22,OMR,,AUH,ok,ok,,Y22,m4,ok,,,
C14148,,32/13/2023,"-2,143.09","-2,143.09",SAR,Pending,UAQ,,,,Y22,m4,,x,,
C15557,,03/04/2022,(69.03),(69.03),OMR,In Review,UAQ,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,
C51347,,Apr-24-22,,27519.09,AED,,RAK,!!!,!!!,,Y22,m4,!!!,,x,x
,,2022-04-01,,,sar ,In Review,AUH,ok,ok,,Y22,,ok,x,,
C46952,,2022-04-17,not available,12196.55,OMR,CANCELLED,UAQ,ok,ok,,Y22,m4,ok,,,
C80733,,2022-04-07,13227.35102405316,13215.43,USD,In Review,AUH,ok,ok,,,m4,ok,,,
,,32/13/2023,,-4889.53,GBP,Pending,SHJ,,,,,,,,,
C49449,,2022-04-02,,23414.76,EUR,,AAN,ok,ok,,Y22,m4,ok,,x,
C88047,,25/04/2022,-6021.48,-6021.48,SAR,Closed,UAQ,needs review,needs review,,Y22,,needs review,,,
C58418,,23 April 2022,8899.095181382912,8866.4,GBP,Closed,RAK,ok,ok,,Y22,m4,ok,,,
C81850,,Apr-22-22,4489.48,4489.48,eur ,In Review,AAN,,,,0,,,x,,
,,Apr-01-22,,26336.77,EUR,In Review,RAK,ok,ok,,1,m4,ok,,,
C72488,,23/04/2022,"19,867.08",19867.08,AED,Pending,FJR,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,
C66691,,2022-04-17,26529.3,"26,529.30",OMR,Open,AUH,,,,Y22,28,,,,
,,Apr-16-22,not available,-2873.19,OMR,,DXB,,,junk,,m4,,,,
