_cust#__,,DATE,Amt,AMOUNT,Currency, state  ,BR_CODE,Notes, Commentary  ,,year_added_2022, new_col_202201 ,mystery_2022_01_4,mystery_2022_01_77,mystery_2022_01_62,mystery_2022_01_41,Unnamed: 0
C62036,,01 January 2022,,26390.01,AED,Open,DXB,ملاحظة,ملاحظة,,0,m1,,,,,
C40382,,06 January 2022,"26,396.41",26396.41,GBP,Closed,SHJ,needs review,needs review,,1,,,,x,,
C26360,,2022-01-20,,7410.44,sar ,Closed,AAN,ملاحظة,ملاحظة,,Y22,m1,,,,,
C48513,,0000-00-00,"28,245.64",28245.64,GBP,,FJR,,,,Y22,21,,,,,
C36146,,0000-00-00,6383.776103997355,6375.2,SAR,In Review,SHJ,ok,ok,,,72,,x,,,
,,01/01/2022,24065.093077282585,24069.87,USD,,AUH,,,,,50,,,,,
C85927,,32/13/2023,(10020.46),10020.46,GBP,,SHJ,,,,1,m1,,,,,
C18880,,2022-01-17,(2523.65),-2523.65,SAR,CANCELLED,UAQ,needs review,needs review,,,m1,,,,,
C40299,,2022-01-01,547.5969559500925,505.54,AED,CANCELLED,AUH,ok,ok,,Y22,m1,,,,,
C56512,,2022-01-21,,-6610.416716524541,EUR,CANCELLED,UAQ,needs review,needs review,,Y22,43,,,,,
C73283,,2022-01-20 00:00:00,-6884.25,-6884.25,SAR,In Review,RAK,!!!,!!!,,Y22,m1,,,,,x
C50117,,2022-01-11,8301.505882841995,,SAR,CANCELLED,  RAK,,,,,m1,,,,,
C75562,,2022-01-26 00:00:00,"8,229.91",,OMR,CANCELLED,FJR,ملاحظة,ملاحظة,,1,28,,,,,
C12098,,Jan-06-22,(16965.28),16927.93001639534,USD,,AAN,,,,Y22,71,,,,,x
C55612,junk,2022-01-16,20876.66,20876.66,USD,Open,UAQ,ok,ok,,,m1,,,,,
C56512,,2022-01-23,,22383.05124817645,OMR,,RAK,ok,ok,,0,m1,,,,,x
C59951,,Jan-18-22,,17140.49258174184,USD,In Review,AUH,ok,ok,,1,m1,,,,,
C14710,,2022-01-25,24249.02,(24228.37),OMR,Pending,FJR,ok,ok,,,24,,,,,x
,,27/01/2022,23156.75,not available,EUR,Closed,AAN,,,,1,m1,,,x,,
,,02 January 2022,5585.75,,usd ,Pending,UAQ,ملاحظة,ملاحظة,,Y22,m1,,,,,
,junk,Jan-26-22,"-6,797.58",,EUR,Pending,SHJ,ملاحظة,ملاحظة,,,57,,,,,
C47763,,32/13/2023,1064.75,(1064.75),EUR,CANCELLED,DXB,needs review,needs review,,1,31,,,,,x
,,2022-01-23,-1833.44,-1833.44,gbp ,,AAN,ok,ok,,Y22,65,,,,,
C53668,,18/01/2022,16367.26848454997,,omr ,In Review,AUH,needs review,needs review,,0,54,,,,,
,,Jan-06-22,"12,000.08",(12001.01),SAR,,UAQ,needs review,needs review,,0,52,,,,,
