cust#,A/C No.,Txn Date,AMT,amount (aed),CCY,State,BR_CODE,remarks,REASON_TEXT,,year_added_2022,new_col_202203, LEDGER_ACCOUNT  ,mystery_2022_03_63,mystery_2022_03_69
C57827,A-9176768,2022-03-24,,"22,920.66",SAR,,AUH,ok,ok,,1,77,A-9176768,,
C83157,A-6029228,Mar-20-22,,10739.74272096882,SAR,Pending,  FJR,ok,ok,,1,m3,A-6029228,,
C29487,A-3394252,2022-03-27,not available,-4977.477084264837,USD,,AUH,,,,Y22,98,A-3394252,,
C79646,A-8773367,01 March 2022,24321.49,,EUR,In Review,RAK,,,,Y22,m3,A-8773367,,
C63406,A-3311860,0000-00-00,1179.3,1179.3,USD,,UAQ,needs review,needs review,junk,Y22,,A-3311860,,
C87935,A-1041694,26/03/2022,(15593.23),15616.85214092794,eur ,In Review,AUH,needs review,needs review,,Y22,,A-1041694,,
,A-3223938,,12398.15,12398.15,USD,Open,  FJR,needs review,needs review,,,m3,A-3223938,,
C34921,A-5115659,27/03/2022,25206.77,(25206.77),AED,CANCELLED,SHJ,!!!,!!!,,1,m3,A-5115659,x,x
C61804,A-1120852,2022-03-26,,12790.32,AED,CANCELLED,FJR,,,,,,A-1120852,,
C80506,A-1488220,28 March 2022,,"19,793.35",SAR,,AUH,,,,1,95,A-1488220,,
,A-5344355,32/13/2023,26454.10945450847,"26,482.85",SAR,,DXB,needs review,needs review,,,m3,A-5344355,,
C43561,A-2825927,2022-03-06,11348.7,"11,348.70",USD,Closed,AAN,needs review,needs review,,0,m3,A-2825927,,
C37526,A-8309209,2022-03-19,19862.91,19882.08032050297,EUR,In Review,FJR,needs review,needs review,,,37,A-8309209,,
C42704,A-2973939,2022-03-12,(4044.99),not available,SAR,Closed,AAN,ok,ok,,,38,A-2973939,x,x
C16526,A-1111562,16 March 2022,(13594.69),13594.69,USD,,UAQ,ok,ok,,Y22,29,A-1111562,,
C57708,A-3957542,Mar-12-22,-1653.47,-1653.47,aed ,In Review,DXB,needs review,needs review,,Y22,m3,A-3957542,,
C92386,A-3102890,17 March 2022,6537.67,6537.67,usd ,Open,RAK,ok,ok,,0,m3,A-3102890,,
C94812,A-2673810,Mar-06-22,6156.73,6156.73,USD,In Review,  AAN,,,,,m3,A-2673810,,
C53263,,2022-03-14 00:00:00,13463.78,13463.78,EUR,In Review,UAQ,needs review,needs review,,,m3,,,
C33020,A-2147008,2022-03-03 00:00:00,(24649.66),,AED,,  SHJ,needs review,needs review,junk,,59,A-2147008,,
C32444,,,17480.02,(17480.02),EUR,Closed,SHJ,,,,Y22,60,,,
,A/94265,32/13/2023,-954.479938952613,,OMR,In Review,RAK,ok,ok,junk,,m3,A/94265,,
,A-8189656,Mar-07-22,"16,894.21",16932.783993242847,USD,In Review,AAN,,,,Y22,,A-8189656,,
C78793,A-3814043,03 March 2022,-7692.87,-7692.87,USD,Closed,SHJ,needs review,needs review,,Y22,m3,A-3814043,x,
C22888,A-2489862,32/13/2023,10329.19,10329.19,EUR,,FJR,,,,0,m3,A-2489862,,
C74876,A-4907026,2022-03-14,25796.47,25796.47,SAR,Pending,AAN,ok,ok,,Y22,m3,A-4907026,,x
C41836,A/32908,,11051.09,11051.09,USD,,AAN,needs review,needs review,,Y22,m3,A/32908,,
C31902,A-1007564,Mar-02-22,28576.46,,AED,CANCELLED,FJR,needs review,needs review,,0,18,A-1007564,,
C80973,A-7373266,Mar-14-22,20121.674385029615,20147.69,usd ,,FJR,needs review,needs review,,Y22,m3,A-7373266,,
C51444,A-3050465,2022-03-06,,859.99,USD,Open,RAK,ملاحظة,ملاحظة,,0,m3,A-3050465,,
C63220,A-7328252,2022-03-11,not available,9880.91,USD,Closed,FJR,ok,ok,,Y22,97,A-7328252,,x
C69789,A/16017,Mar-24-22,3971.75,,AED,Open,FJR,needs review,needs review,,Y22,91,A/16017,,
C15420,A-7784359,2022-03-17,5138.629550934822,,SAR,Open,RAK,needs review,needs review,,Y22,,A-7784359,x,
C71041,A-5810831,2022-03-26,"4,024.46",4043.4,EUR,,AAN,,,,1,,A-5810831,,
C67683,A-4409823,32/13/2023,-4346.151332658096,(4299.35),AED,,UAQ,ok,ok,,Y22,m3,A-4409823,,x
C39085,A-6395384,2022-03-12,-7211.25,(7211.25),OMR,Pending,RAK,!!!,!!!,,Y22,m3,A-6395384,x,
C62844,A-4656455,2022-03-07,,,AED,CANCELLED,DXB,needs review,needs review,,0,m3,A-4656455,,
C23755,A-5641666,Mar-28-22,-2549.827168644402,"-2,570.33",SAR,Closed,AAN,needs review,needs review,,,,A-5641666,,
C41786,A-3645513,2022-03-07,26529.48231380039,26503.4,OMR,Open,AAN,needs review,needs review,,Y22,m3,A-3645513,,
C47674,A-7877445,Mar-07-22,23890.54,23890.54,USD,Pending,AUH,,,,,,A-7877445,,
C99635,A-9544294,2022-03-02 00:00:00,"1,130.66",,GBP,Open,SHJ,!!!,!!!,,Y22,,A-9544294,x,
C93026,A-6566326,Mar-22-22,26404.7354645615,,EUR,In Review,RAK,,,,Y22,,A-6566326,x,x
C33022,A-3263051,2022-03-21 00:00:00,1805.293499765065,"1,770.68",EUR,,FJR,ok,ok,,,m3,A-3263051,,
C87792,A-2666067,2022-03-19,(18221.70),18221.7,gbp ,Closed,  AAN,needs review,needs review,,,,A-2666067,,
C77272,A-1370482,14 March 2022,,3715.16,AED,Open,FJR,,,,Y22,,A-1370482,,
C56324,A-7487431,21/03/2022,(2832.52),2832.52,USD,CANCELLED,AUH,,,,Y22,m3,A-7487431,,x
C79818,A-7767628,Mar-15-22,-1539.32,-1539.32,GBP,,AAN,needs review,needs review,,,m3,A-7767628,,
C23532,A-7927139,12 March 2022,28778.72593846685,28730.89,GBP,CANCELLED,UAQ,ok,ok,,,,A-7927139,,
C36727,A-1541665,2022-03-03,29192.93,(29192.93),AED,,FJR,ok,ok,,Y22,m3,A-1541665,,
C96615,A-1968561,08/03/2022,8791.68,8791.68,USD,In Review,SHJ,,,,,m3,A-1968561,,x
C95398,A-3370919,32/13/2023,16831.15,16831.15,EUR,In Review,  FJR,,,,1,m3,A-3370919,,
C79020,A-5444814,Mar-27-22,2180.59,2180.59,EUR,,AUH,ok,ok,,Y22,,A-5444814,x,
C66480,A-9594049,11 March 2022,"17,040.66",17040.66,SAR,,AUH,ok,ok,,Y22,m3,A-9594049,,
,A-9659679,19 March 2022,20962.144800912403,20978.33,USD,Open,  AUH,ok,ok,,Y22,,A-9659679,,
C46355,A-4506847,20/03/2022,-1985.0,(1985.00),GBP,CANCELLED,AUH,needs review,needs review,,Y22,m3,A-4506847,,
C97185,A-5171760,2022-03-01,6515.36,,AED,,RAK,,,,1,33,A-5171760,,
C64795,A-8416854,19/03/2022,18220.88788301266,18219.54,EUR,,SHJ,ok,ok,,Y22,m3,A-8416854,x,
