 Customer Id  ,Account ID, posting_dt  ,Amt, TXN_VALUE  , CCY_CODE  ,Status,AREA,Commentary,ops_comment,,year_added_2022, new_col_202206 ,,mystery_2022_06_16,mystery_2022_06_65,Unnamed: 0
C93619,A-1618123,2022-06-09,-7093.647318783781,-7087.5,OMR,,FJR,ok,ok,,,m6,,,,
C27960,A-3241503,13 June 2022,3152.916182348127,(3195.92),SAR,CANCELLED,SHJ,ملاحظة,ملاحظة,,,m6,,,,x
C11845,A-1368248,2022-06-06,1554.936931546343,"1,538.36",OMR,Closed,DXB,,,,0,,,,,
,A-9479909,2022-06-06,7736.65,7763.437701098473,GBP,In Review,AUH,,,,Y22,m6,,,,
C26772,,25 June 2022,-4924.7,-4924.7,GBP,Open,AUH,ok,ok,junk,0,m6,,,,
C24969,A-4046581,17/06/2022,26896.51,"26,932.70",USD,,AAN,,,,Y22,m6,,,,x
C84702,A-2798916,32/13/2023,13238.39154652138,13224.71,AED,,SHJ,ok,ok,,,,,,,
C97735,A-7995548,2022-06-07,29623.57,29623.57,OMR,,RAK,needs review,needs review,junk,1,,,,,
C97259,,01 June 2022,"-5,845.75",,sar ,,FJR,ok,ok,,,m6,,,x,
C91119,A-9456354,2022-06-04,7892.25,7881.397858392582,SAR,Pending,DXB,ok,ok,,Y22,m6,,,,
C39485,A/95433,2022-06-06,18024.94,18024.94,EUR,,FJR,ok,ok,,,,,x,,
C13432,A-6652189,2022-06-16 00:00:00,(6094.34),-6094.34,GBP,CANCELLED,FJR,ok,ok,,1,,,,,
C96926,A-6002330,,,"8,887.82",USD,Open,DXB,ok,ok,,Y22,m6,,,,
C43000,A-2349802,15/06/2022,"11,576.60",11576.6,AED,Pending,DXB,!!!,!!!,,Y22,m6,junk,,,
C25373,A-4255344,32/13/2023,"21,521.34",21521.34,OMR,,FJR,,,,Y22,91,,,,
,A-9349348,32/13/2023,,7372.02,USD,Closed,AUH,needs review,needs review,,Y22,m6,,,,
C42185,A/24642,,3211.58,,OMR,In Review,UAQ,needs review,needs review,,,m6,,,,
C89383,A-5282328,2022-06-23,-7448.92,-7448.92,SAR,,SHJ,ok,ok,,,,,,,
C52451,A-8505229,12 June 2022,17877.15,"17,877.15",SAR,,AAN,ok,ok,,1,79,,,,
