 cust#  ,Account ID#,POSTING DATE,Amount,Gross Amount#,CCY,APPRV_STATE, BR_CODE  ,Memo#,REASON_TEXT,,year_added_2022, new_col_202209 ,Notes,mystery_2022_09_66,mystery_2022_09_72,mystery_2022_09_18
C97167,A-3489861,13 September 2022,6383.400712311601,,SAR,,DXB,ملاحظة,ملاحظة,,0,m9,ملاحظة,,,
C66015,A-1345443,2022-09-24,22621.974007317458,22622.59,OMR,,DXB,ok,ok,,,73,ok,x,,
C19026,,2022-09-21,2805.92,2805.92,SAR,Open,RAK,needs review,needs review,,0,73,needs review,,,
C98437,A-9890248,Sep-18-22,(29079.15),29079.15,AED,Open,AAN,,,junk,,,,,x,
,A-6205380,2022-09-21 00:00:00,-7269.736347519409,"-7,266.19",GBP,CANCELLED,RAK,ملاحظة,ملاحظة,,Y22,m9,ملاحظة,,,
C69402,A-6876054,32/13/2023,,25267.15,OMR,Closed,UAQ,ملاحظة,ملاحظة,,,m9,ملاحظة,,,
C76415,A-8799302,15/09/2022,not available,(10343.43),USD,,AAN,,,,,m9,,,,
C48172,A-8238738,2022-09-03,"3,890.08",3890.08,OMR,Open,RAK,,,,0,,,,,
C17919,A-3419351,16/09/2022,15387.93467176522,15420.87,EUR,,UAQ,,,,Y22,m9,,,x,
,A-4184306,2022-09-24,20724.63014784227,"20,776.23",GBP,Pending,UAQ,ملاحظة,ملاحظة,junk,Y22,,ملاحظة,x,,
,A-4261411,Sep-15-22,4919.04,,SAR,In Review,AUH,ok,ok,,0,,ok,,x,
C25646,A-2525364,2022-09-26 00:00:00,2314.84,"2,314.84",AED,,AAN,ok,ok,,0,,ok,,,x
C37006,A-8143673,01 September 2022,23712.06,not available,USD,,RAK,ملاحظة,ملاحظة,,1,,ملاحظة,,,
C24815,A-8293531,08 September 2022,(1844.31),(1844.31),AED,In Review,  DXB,ملاحظة,ملاحظة,,0,44,ملاحظة,,,
C77988,A-7867825,18/09/2022,(6604.66),-6594.587012811725,OMR,CANCELLED,AAN,ok,ok,,Y22,m9,ok,,,
C13904,A-6355902,32/13/2023,"-2,784.70",(2784.70),SAR,CANCELLED,DXB,,,,,m9,,,,
C98416,A/32905,2022-09-16 00:00:00,,(22787.33),OMR,,DXB,,,,Y22,m9,,,,
,,2022-09-18,,10401.83,USD,,UAQ,ملاحظة,ملاحظة,,Y22,,ملاحظة,,x,
C28214,A-8160616,2022-09-05,3123.31,3123.31,SAR,CANCELLED,FJR,ok,ok,,Y22,m9,ok,,,
C45148,A-8730561,2022-09-12,18779.58,18765.3552164928,SAR,Open,AUH,!!!,!!!,,Y22,m9,!!!,,,
,A-9029506,13/09/2022,25713.39,25713.39,EUR,,DXB,,,,,m9,,,,
C62390,A-7777527,2022-09-13,26521.28,"26,521.28",USD,,DXB,ok,ok,,,m9,ok,,,
C35702,A-6641486,06 September 2022,28503.81,,SAR,Open,AUH,needs review,needs review,,Y22,,needs review,,x,x
C95577,A-1881839,32/13/2023,,,OMR,In Review,SHJ,ok,ok,,Y22,,ok,,,
C74560,,15/09/2022,5963.797108559085,6003.11,SAR,,  FJR,needs review,needs review,,1,m9,needs review,x,,x
C41664,A-1143592,2022-09-15 00:00:00,(7741.81),,EUR,,AAN,!!!,!!!,junk,Y22,,!!!,,,
C76460,A/3653,27 September 2022,10625.09,10625.09,OMR,In Review,DXB,,,,Y22,,,,,
C72072,A-4857896,Sep-17-22,6422.74,,SAR,Closed,FJR,ok,ok,,Y22,,ok,,,
C61502,A-3874628,2022-09-25,"12,514.37",12515.6,AED,CANCELLED,AAN,needs review,needs review,,,,needs review,,,x
C82461,A-5136688,13 September 2022,,20013.93,SAR,Pending,RAK,needs review,needs review,,Y22,m9,needs review,,,
,A-4270860,2022-09-02,-7692.24,-7692.24,OMR,,DXB,ok,ok,,Y22,,ok,,,
C30094,A-8064393,23/09/2022,"8,147.67",8125.79,OMR,Closed,RAK,,,,1,63,,,,
,A-6540075,09/09/2022,,21333.72,SAR,,DXB,needs review,needs review,junk,Y22,m9,needs review,,,
,A-6675631,24/09/2022,13988.18,,OMR,Closed,DXB,ok,ok,junk,,m9,ok,,,
C58265,A-7170265,27/09/2022,"7,090.68",7090.68,USD,In Review,AAN,ملاحظة,ملاحظة,,,11,ملاحظة,,,
C31518,A-2083672,2022-09-19,11626.61767470329,,OMR,Pending,AUH,ok,ok,,Y22,12,ok,,,
C75325,A-5544375,2022-09-19,29323.38656568158,29359.93,aed ,Closed,SHJ,,,,Y22,m9,,x,,
C61829,A-2674457,0000-00-00,,,USD,Open,RAK,,,,0,,,,,
C84918,A-3624171,25 September 2022,17270.01,17260.55617047556,SAR,Open,DXB,,,,Y22,,,x,,
C71528,A-3792324,04 September 2022,not available,17121.542360665957,aed ,Open,SHJ,needs review,needs review,,0,35,needs review,,x,
C36156,A/69867,10 September 2022,(14231.78),14227.254503801829,EUR,,UAQ,,,,0,m9,,,,
C46703,A-7021366,23/09/2022,19750.52,19750.52,GBP,Pending,DXB,needs review,needs review,,0,m9,needs review,,,
C32337,A-3208323,2022-09-05,-338.16,-338.16,GBP,CANCELLED,FJR,ok,ok,,1,m9,ok,,,
C44318,A/60591,2022-09-14,,-6125.83,USD,In Review,UAQ,ok,ok,,0,,ok,,,
,A-9682243,2022-09-14,3893.93,3893.93,SAR,Open,DXB,ok,ok,,Y22,,ok,,,
C36571,A-4052992,2022-09-02,3706.92,,omr ,CANCELLED,UAQ,ok,ok,,Y22,79,ok,x,x,
C71981,A/51713,11/09/2022,"20,227.39",20272.57,USD,In Review,SHJ,ok,ok,,Y22,,ok,,,
C83333,A-3503298,28/09/2022,407.72,363.3286069583945,AED,CANCELLED,DXB,ملاحظة,ملاحظة,junk,Y22,,ملاحظة,,,
,A-5528532,20/09/2022,13721.96,,OMR,CANCELLED,SHJ,ok,ok,junk,Y22,95,ok,,,
C64042,A-8626179,05 September 2022,20989.99847038001,"21,035.51",GBP,,AAN,!!!,!!!,,Y22,,!!!,x,,
C93334,A-9559634,2022-09-09 00:00:00,-3303.88,,SAR,Closed,FJR,,,,,,,,,
C62792,A-5563542,Sep-01-22,(4876.34),,SAR,,  AAN,ok,ok,,Y22,85,ok,x,x,x
