CID,Account ID,POSTING DATE,TXN_VALUE#,Amt,iso_curr,state !!,BR_CODE,COMMENTARY,REASON_TEXT,,year_added_2023,new_col_202310,mystery_2023_10_56,mystery_2023_10_4,mystery_2023_10_48,Unnamed: 0
C83060,A-4377811,2023-10-08,,5982.34,EUR,Pending,UAQ,ok,ok,junk,,m10,x,,,
C52889,A/799,14/10/2023,"15,435.82","15,348.56",USD,Closed,  AAN,,,,Y23,,,,,
C89612,A-9533840,2023-10-04,-1183.99,(1183.99),GBP,In Review,AAN,ok,ok,,Y23,34,,,,
,A-8005748,2023-10-17 00:00:00,,29167.51,USD,In Review,FJR,ملاحظة,ملاحظة,,,m10,,,,x
C32698,A/53401,06 October 2023,,not available,SAR,CANCELLED,SHJ,ok,ok,junk,Y23,85,,,,
C57512,,,,,EUR,,UAQ,ok,ok,,0,86,,,,
,A/29337,2023-10-23 00:00:00,19897.76,19897.76,SAR,,AAN,ملاحظة,ملاحظة,,Y23,,,,,x
C45604,A-2643539,07/10/2023,22039.39,,EUR,Open,UAQ,ملاحظة,ملاحظة,,Y23,m10,,,,
C14044,A-5268099,2023-10-03,2251.74270170707,2182.292802439666,EUR,,FJR,ok,ok,,1,,x,,,
C14894,A-5313304,32/13/2023,,,GBP,Open,FJR,ok,ok,,Y23,,,,,
,A-6094195,Oct-07-23,-5881.69,-5881.896966871273,AED,CANCELLED,AAN,needs review,needs review,,,m10,,,,
C19493,,2023-10-05,22951.183962033807,22956.2,SAR,,  DXB,,,,1,43,,,,
C58008,A-6511829,27/10/2023,10559.937791021519,,USD,,AUH,ok,ok,,Y23,m10,,,,
C19713,A-9854043,03 October 2023,29822.43,29822.43,SAR,Closed,UAQ,ok,ok,junk,,m10,,,,
C27442,,2023-10-14,(4478.88),,USD,Open,AUH,needs review,needs review,,Y23,m10,,,,
C98478,A-3301715,2023-10-21,5847.36,5860.804680482371,sar ,CANCELLED,FJR,ملاحظة,ملاحظة,,,m10,,,,
,A-5089566,2023-10-11,25673.42,25673.42,USD,CANCELLED,AAN,!!!,!!!,,,,,,,
C80810,A-8876203,2023-10-27,"-7,440.13",-7416.438820369271,OMR,CANCELLED,SHJ,ok,ok,,Y23,,,,,
C38028,A-5562928,2023-10-10,14850.7552503321,14849.4058928454,AED,CANCELLED,AAN,ok,ok,,Y23,m10,,,,
C83311,,2023-10-08,349.72,357.81,USD,,AAN,needs review,needs review,junk,Y23,m10,,,,
C88560,,2023-10-04 00:00:00,-4571.77623178062,-4532.46,SAR,In Review,AAN,ok,ok,,Y23,,,,,
