Customer Id,GL_ACC,Date#,VALUE,amt,Unnamed: 0,txn_status,branch_region, REASON_TEXT  ,reason_text,,year_added_2023,new_col_202311,mystery_2023_11_1,mystery_2023_11_40
C17910,A-5246708,10/11/2023,20649.27,20649.27,x,Open,AUH,,,,Y23,,,
C11728,A-8208466,,11010.67,,,CANCELLED,UAQ,,,,1,,,
,A-1163964,09/11/2023,26052.91,not available,,Closed,UAQ,ok,ok,,Y23,m11,,
,A-8770881,16/11/2023,,29754.477311750972,,CANCELLED,SHJ,needs review,needs review,,Y23,m11,,
C92980,A/80016,2023-11-02,-6328.994909506427,-6285.74,,CANCELLED,DXB,ملاحظة,ملاحظة,,Y23,25,,
C61470,A-6102002,2023-11-06,"28,430.60",28451.49456178241,,,AAN,,,,Y23,m11,,
C53322,A-7128231,32/13/2023,3144.95,,,,DXB,needs review,needs review,,0,99,,
C50175,A-5825689,2023-11-28,not available,(15974.69),,Open,FJR,ok,ok,,Y23,,,
C23812,A-5748403,23/11/2023,-469.74,,,CANCELLED,AUH,,,,,m11,,
C99618,A-4014877,2023-11-04,21525.85,21564.00290105397,x,,AAN,needs review,needs review,,,10,,x
C46222,A-2372676,23 November 2023,5947.57,5920.265083204225,,Pending,UAQ,needs review,needs review,,,,,
C52293,A-2008088,2023-11-28,-1480.33,-1480.33,,Pending,SHJ,needs review,needs review,,,m11,,
C94570,A-6035687,2023-11-24,25806.70537306841,25846.49,,Pending,AUH,,,,Y23,m11,,x
C23991,A-2800323,2023-11-06 00:00:00,113.41,113.41,,In Review,  FJR,needs review,needs review,,Y23,m11,,
C18364,,Nov-05-23,-649.32,-649.32,,In Review,RAK,needs review,needs review,,Y23,m11,,
C80661,A-8940315,Nov-15-23,(10340.54),10340.54,,CANCELLED,UAQ,ok,ok,,0,,x,
C53868,A-5350855,22/11/2023,6913.563947749642,6980.581058174019,x,CANCELLED,UAQ,needs review,needs review,,Y23,,,x
C22927,A-3311806,2023-11-08 00:00:00,18296.18,18320.68358593371,,In Review,AUH,ok,ok,,1,m11,,
C99955,A-2074755,25 November 2023,24107,24107,,Closed,  UAQ,,,,Y23,m11,,
C61806,A-2140550,2023-11-23 00:00:00,not available,,,,RAK,,,,,35,,
C81974,A-3256557,Nov-05-23,10479.0025748774,,,Closed,RAK,ملاحظة,ملاحظة,,Y23,31,,
C86163,,Nov-17-23,,15206.32,x,,SHJ,ok,ok,,1,,,
C33049,A-4073489,03/11/2023,2869.56,(2869.56),,,UAQ,needs review,needs review,,1,m11,,
C44139,A-2119197,2023-11-11,1443.13,1474.5061671258,x,Closed,RAK,ok,ok,junk,,69,,x
C12001,,Nov-19-23,"19,291.09",19291.09,x,Closed,DXB,needs review,needs review,,,m11,,
C85140,A-4779197,2023-11-19 00:00:00,16455.12,"16,455.12",,Open,SHJ,ملاحظة,ملاحظة,,Y23,19,,
C12720,A-8764558,12 November 2023,11464.99,11464.99,,In Review,SHJ,ok,ok,,1,m11,x,
C67721,,14/11/2023,"-6,324.14","-6,324.14",,Pending,AAN,!!!,!!!,,Y23,m11,,
C97905,A-8833876,27 November 2023,"-4,434.86",-4434.86,,CANCELLED,DXB,ok,ok,,Y23,,,
,A-6311685,2023-11-19,18873.68,18892.00275470659,,Pending,FJR,,,,1,m11,,
C36759,A-1504970,24 November 2023,(7475.20),-7524.4,,,UAQ,ok,ok,,Y23,43,,
C91264,A-8931168,2023-11-06,19955.69,19955.69,,,AAN,ملاحظة,ملاحظة,,1,,,
C42646,A-8800054,2023-11-13 00:00:00,283.65,283.65,,Pending,AAN,ملاحظة,ملاحظة,,Y23,87,,
C79000,A-5595070,Nov-11-23,9383.117919582659,"9,320.76",,,DXB,!!!,!!!,,Y23,m11,,
,A-6189823,2023-11-05,,2438.41,,,AAN,needs review,needs review,,,m11,,
C35408,A-2117597,2023-11-09,(19140.41),19108.50034457119,x,In Review,UAQ,,,,0,m11,,
