CID,GL_ACC,TRANSACTIONDATE (v2),amount (aed),TXN_VALUE,currency_code, Approval Status  , branch_region  , OPS_COMMENT  ,REASON_TEXT,,year_added_2023,new_col_202312,mystery_2023_12_64,mystery_2023_12_8
C87125,A-2225636,14 December 2023,,779.54,OMR,Pending,RAK,needs review,needs review,,Y23,94,,
C70923,A-9193148,17/12/2023,19829.08,19829.08,EUR,Pending,  FJR,,,,,,,
C48830,A/14347,22 December 2023,"-6,011.07","-6,057.69",AED,CANCELLED,DXB,needs review,needs review,,Y23,,,
C75600,A-5306975,2023-12-24,26524.11,"26,524.11",GBP,,AUH,,,,,m12,,x
C27654,A/5082,Dec-19-23,-7274.78,-7274.78,SAR,,UAQ,ok,ok,,Y23,m12,,
,A-7369401,,"26,018.88","26,011.75",GBP,Closed,AUH,ok,ok,,Y23,m12,,
C79434,A-1917941,01 December 2023,-4909.074494304019,,USD,Closed,RAK,ok,ok,,Y23,,,
C77682,A-3377014,22 December 2023,not available,27075.62,SAR,Closed,FJR,ok,ok,,0,m12,,
C51017,A-5911673,2023-12-21,-5857.618512440061,"-5,866.13",OMR,In Review,AAN,!!!,!!!,,1,77,,
,A-3014298,15 December 2023,29164.73,29164.73,OMR,Pending,DXB,ok,ok,,,m12,x,
C12244,A-6805744,04/12/2023,-558.57,not available,aed ,CANCELLED,AUH,ok,ok,,Y23,74,,
C55319,A-2944798,2023-12-21 00:00:00,(2368.29),,GBP,Closed,UAQ,ok,ok,,,,,
,A-5808426,25/12/2023,15582.7,15568.149495330908,GBP,Closed,  RAK,,,,1,m12,x,
C98703,A-1980843,0000-00-00,7281.186176558293,,EUR,In Review,UAQ,,,,Y23,m12,,
C54939,A-2265577,2023-12-15,4502.26,4532.608039850283,SAR,Pending,DXB,,,,Y23,m12,x,
C61663,,Dec-05-23,5086.46,5076.137033514407,SAR,,FJR,needs review,needs review,,0,,,
,A-8474016,2023-12-07,"3,521.37",3541.12,AED,Pending,DXB,,,,Y23,m12,,
,A-7041770,02 December 2023,20029.63,,GBP,,UAQ,ok,ok,,Y23,,x,
,A/21544,2023-12-20 00:00:00,,-45.57,SAR,In Review,RAK,ok,ok,,Y23,m12,,
C30825,A-8134080,32/13/2023,(22539.88),,EUR,In Review,AUH,!!!,!!!,,Y23,,,
C34284,A-7457317,2023-12-21,21249.490208523435,not available,AED,Pending,FJR,ok,ok,,1,82,,x
,A-9689598,2023-12-17,11035.68,,GBP,Closed,DXB,ok,ok,,1,m12,,
,A-3909851,2023-12-26,,,OMR,In Review,SHJ,,,,Y23,,,
C23758,A-7126899,2023-12-22 00:00:00,1757.11,,OMR,CANCELLED,RAK,ok,ok,,Y23,m12,,
,A/70762,32/13/2023,21186.582790405086,21177.41,AED,Open,AAN,ok,ok,,1,m12,,
C15936,A-6252909,18 December 2023,19075.91,19075.91,GBP,Closed,FJR,!!!,!!!,,0,m12,,
C30914,A-4985068,Dec-07-23,10547.61,"10,547.61",USD,Open,SHJ,ok,ok,,Y23,m12,,
C87323,A-1681569,2023-12-09,11379.84,,GBP,Pending,FJR,!!!,!!!,,Y23,,x,
C64373,A/90345,32/13/2023,29228.19,(29198.57),USD,Closed,AAN,!!!,!!!,junk,Y23,m12,,
C25412,A-4631035,2023-12-23 00:00:00,1639.903453395584,1613.58,USD,CANCELLED,FJR,ok,ok,,Y23,,,
C40654,A-6888765,05 December 2023,2301.79,2301.79,GBP,Pending,SHJ,ملاحظة,ملاحظة,junk,,m12,,
C69915,A-3251808,27/12/2023,(27196.63),,AED,,UAQ,ok,ok,,Y23,26,,
C20294,A-3169197,2023-12-08,,7108.64,SAR,In Review,FJR,,,,Y23,,,
C16591,A-5909691,,-5514.47,-5514.47,SAR,,SHJ,needs review,needs review,,1,64,,
C57040,A-9088810,2023-12-06 00:00:00,10897.73,10921.918109250608,SAR,Open,RAK,,,,1,m12,x,
,A/82888,2023-12-06,-5111.811479383297,-5078.26,usd ,,AUH,,,junk,0,m12,,
,A/90636,2023-12-08,,not available,AED,In Review,RAK,,,,0,13,x,
C45544,A-1425494,14 December 2023,,3023.293549363634,SAR,Open,AAN,ok,ok,,,m12,,
C40561,A-6417477,2023-12-13,-636.7566511973106,-646.131639439734,SAR,Open,RAK,,,,Y23,61,,
C81311,A-7905569,32/13/2023,4749.2,4701.674509866763,EUR,Open,AAN,ok,ok,,Y23,48,,
