CustomerID,Acct,posting date,Unnamed: 0,amount (AED),curr.,,Branch,REMARKS,Notes#,UNUSED,year_added_2024,new_col_202407,mystery_2024_07_40,mystery_2024_07_37,mystery_2024_07_22
C10331,A-9666597,21 July 2024,,25129.31,OMR,,SHJ,ok,ok,,Y24,,,,x
C32446,A-6478654,19/07/2024,,,AED,,FJR,needs review,needs review,,,85,,,
C16844,A-8489725,2024-07-25 00:00:00,,(3884.33),GBP,,UAQ,,,,Y24,78,,x,
C44730,A-1401429,2024-07-25,,11276.28,USD,junk,DXB,ok,ok,,Y24,m7,x,,
C93827,A-8439037,,,25967.28,EUR,,AAN,needs review,needs review,,1,m7,,,
C60709,A-2468817,Jul-14-24,x,,GBP,junk,FJR,ok,ok,,,m7,,,
C32020,A-7966535,13 July 2024,,-648.1,AED,,UAQ,ملاحظة,ملاحظة,,1,m7,,,
C27742,A-5915891,13 July 2024,,7582.65,USD,,AUH,ملاحظة,ملاحظة,,Y24,,,,
C78801,A-2310136,Jul-25-24,,-2259.69,AED,,RAK,needs review,needs review,,Y24,m7,,,
C14921,A-1155054,Jul-08-24,,13161.63,AED,,DXB,,,,Y24,m7,,,
C78853,A/96141,Jul-21-24,,22651.28,GBP,,DXB,,,,1,54,,,
C71345,A-8596498,23/07/2024,x,"13,070.75",AED,,UAQ,,,,Y24,51,,,
C54094,A-3208917,2024-07-13 00:00:00,,14453.11,AED,,AAN,!!!,!!!,,Y24,21,,,x
C97656,A-1826193,Jul-24-24,,,SAR,,RAK,,,,,,,,
C36652,A-2315938,Jul-14-24,,15576.11,USD,,RAK,ملاحظة,ملاحظة,,Y24,m7,x,,
C74384,A-3034530,2024-07-03,,not available,USD,,AAN,needs review,needs review,,Y24,,,,
C79176,,2024-07-24,,17311.29,EUR,,FJR,needs review,needs review,,,m7,,x,x
C72507,A-5160198,26/07/2024,,21660.4,SAR,,DXB,!!!,!!!,,Y24,,,,
C79630,A-4786578,2024-07-12 00:00:00,,316.8,SAR,,SHJ,,,,Y24,m7,,,
C73604,A-9084535,17 July 2024,x,"8,730.93",EUR,junk,AUH,!!!,!!!,,Y24,33,,,
,A-1714947,32/13/2023,,10590.81906361431,GBP,,FJR,ok,ok,,Y24,m7,,x,
C52148,A-4246786,2024-07-22,,(7028.34),OMR,junk,DXB,ok,ok,,,35,,,
C79644,A-1885490,2024-07-22,,,GBP,,AUH,needs review,needs review,,Y24,m7,,x,
C63749,A-8299377,12 July 2024,,23144.32263342561,sar ,,AUH,ok,ok,,,m7,,,
C77713,A-6650243,22 July 2024,,27512.31989119639,USD,,DXB,,,,1,m7,,,
C68509,A-8096389,Jul-07-24,,-5815.723778787132,EUR,,SHJ,,,,,,x,,
,A-9691369,2024-07-01,,16855.93435679714,AED,,SHJ,ok,ok,,0,,,,
C47665,A-8746702,2024-07-07 00:00:00,,(27128.95),GBP,,DXB,!!!,!!!,x,Y24,m7,,,
C30854,A/39558,0000-00-00,x,-4913.202665571435,OMR,,AUH,ok,ok,,,m7,x,,
C36817,A-7384963,0000-00-00,,-2220.5,USD,junk,FJR,!!!,!!!,,Y24,46,,,
