_ClientNumber__,Unnamed: 0, TransactionDate  , Value  ,AMOUNT,_Curr.__, State  ,branch_region,remarks,Memo,,year_added_2024, new_col_202409 ,currency,mystery_2024_09_56,mystery_2024_09_61,mystery_2024_09_83
,,13 September 2024,4286.03,4286.03,OMR,CANCELLED,AUH,needs review,needs review,,Y24,,OMR,,,
C10685,,11 September 2024,29239.281454594297,29251.04,AED,,SHJ,needs review,needs review,,Y24,20,AED,x,,
C49710,x,2024-09-21,"26,373.13",26371.93,SAR,Open,AUH,,,,0,m9,sar ,,,
,,2024-09-26,2564.22,2564.22,EUR,Closed,AAN,,,junk,,m9,EUR,,,
C40711,,2024-09-21 00:00:00,,18987.5117546677,AED,Open,AUH,ملاحظة,ملاحظة,,0,,AED,,,
C53438,,14 September 2024,-6490.781456281805,-6466.76,GBP,Closed,  UAQ,!!!,!!!,,Y24,m9,GBP,,,
C56758,,2024-09-24,not available,190.53,EUR,Open,  AAN,!!!,!!!,,Y24,85,EUR,,,
C93323,,2024-09-23,-3585.23,-3585.23,GBP,,UAQ,ok,ok,,Y24,,GBP,,,
C82481,,Sep-15-24,11062.55,11044.918647642377,EUR,Open,UAQ,ok,ok,,Y24,14,EUR,,,
,,2024-09-20 00:00:00,24950.71,,AED,,FJR,needs review,needs review,,1,24,AED,x,x,
C33641,,09/09/2024,,1403.04,EUR,CANCELLED,DXB,ok,ok,junk,Y24,,EUR,,,
C83580,,2024-09-24,26864.66243561578,,EUR,Open,AUH,ok,ok,,,m9,EUR,,,
,,02 September 2024,"25,523.58",,OMR,,SHJ,,,,Y24,m9,OMR,,,
,x,0000-00-00,8677.165105710028,,SAR,,RAK,needs review,needs review,,,m9,SAR,,,
C79272,,Sep-20-24,6739.09,6739.09,GBP,CANCELLED,DXB,ok,ok,,,,GBP,,,
C70326,,06/09/2024,8078.15,,EUR,Pending,FJR,,,junk,Y24,m9,EUR,,,x
C24331,x,Sep-03-24,,15908.92,usd ,CANCELLED,AAN,ملاحظة,ملاحظة,,Y24,m9,USD,,,
C58043,x,19/09/2024,"29,860.97","29,860.97",GBP,In Review,FJR,ok,ok,,Y24,26,GBP,,,
C91559,,32/13/2023,,-4345.276693411388,EUR,In Review,UAQ,ok,ok,,,m9,EUR,,,
,,32/13/2023,"17,617.24",17613.79917824632,EUR,Closed,SHJ,,,,,,EUR,,,
,,23 September 2024,2496.26,2496.26,GBP,Closed,RAK,ملاحظة,ملاحظة,,,,gbp ,,,
C90033,,2024-09-19,-2747.1,"-2,747.10",GBP,Pending,AUH,,,,0,,GBP,,,
C16575,,2024-09-21 00:00:00,-2811.99,"-2,811.99",USD,,SHJ,ok,ok,,Y24,m9,USD,,,
C97256,,2024-09-08,not available,28698.67,EUR,CANCELLED,DXB,ok,ok,,1,,EUR,,,
C72420,,02 September 2024,15037.68,"15,037.68",SAR,Closed,DXB,needs review,needs review,,Y24,35,SAR,,x,
C97142,,Sep-05-24,29109.32,,SAR,,RAK,needs review,needs review,,1,m9,SAR,,,
C95179,x,2024-09-02,13149.2,13149.2,EUR,,SHJ,!!!,!!!,junk,1,,EUR,,,
,,0000-00-00,-6240.92,-6240.92,USD,Open,AAN,,,,1,,USD,,,
C53296,,Sep-28-24,27631.3894220979,,SAR,CANCELLED,FJR,needs review,needs review,,1,34,SAR,,,x
,,32/13/2023,(16373.07),16396.73,AED,In Review,SHJ,needs review,needs review,,Y24,,AED,,,
,,01/09/2024,1842.35339674228,,OMR,Pending,AUH,,,junk,,m9,OMR,,,
,,2024-09-08 00:00:00,"-2,330.67",not available,eur ,,AUH,,,,Y24,m9,EUR,,,
C44091,x,Sep-20-24,6116.93,6153.247910717512,GBP,,AUH,ok,ok,,0,m9,GBP,,,
C87924,,32/13/2023,,17603.02,OMR,,DXB,needs review,needs review,,Y24,86,OMR,,,
C99085,x,01/09/2024,,1781.4407471618592,SAR,Open,SHJ,,,,Y24,m9,SAR,,,
C81390,,0000-00-00,16290.37,,OMR,In Review,AAN,,,,Y24,m9,OMR,,,
C62089,,Sep-01-24,429.85,386.21,USD,Closed,SHJ,ok,ok,,Y24,m9,USD,,,
C78108,,2024-09-26 00:00:00,2245.57,2245.57,AED,Closed,RAK,needs review,needs review,,,,AED,,,
C10374,,2024-09-02,,"8,970.37",USD,Pending,FJR,ok,ok,,Y24,m9,USD,,,
C57424,,Sep-21-24,17995.27142076312,17988.765411120796,EUR,CANCELLED,FJR,needs review,needs review,,,m9,EUR,,,
C69008,,08 September 2024,29862.04432316813,29932.69047699101,OMR,Pending,RAK,!!!,!!!,,,m9,OMR,,,
,,2024-09-28,19157.71630499156,,GBP,Pending,UAQ,,,,,m9,GBP,x,,x
C66577,,02 September 2024,18989.99168659349,18950.8,EUR,,UAQ,needs review,needs review,,1,m9,EUR,,,
