ClientNumber,A/C No.,Date,amount (AED), TXN_VALUE  ,CCY_CODE,_status__,Area,COMMENTARY,,,year_added_2024,new_col_202405, CCY_CODE  ,mystery_2024_05_17,mystery_2024_05_36,Unnamed: 0
,A-5778000,32/13/2023,25729.04,25729.04,SAR,CANCELLED,AAN,,,,,m5,SAR,,,
C55297,A-1646864,20 May 2024,23151.66565350082,23174.95,AED,Open,DXB,ok,,,Y24,60,AED,,,
C40480,A-1788386,2024-05-12,(3753.05),"3,753.05",USD,,AUH,ok,,,,,USD,,,x
C30759,A-6905520,08/05/2024,10704.38,10704.38,AED,,AUH,ملاحظة,,,Y24,17,AED,,,
C90160,A-9789350,2024-05-26,(5160.49),"-5,152.14",USD,Closed,UAQ,,junk,,,m5,USD,,,
C11754,A-1508084,May-27-24,26474.86,,USD,Pending,DXB,needs review,,,0,54,usd ,,,
C73283,,May-12-24,1076.59,(1076.59),GBP,In Review,SHJ,needs review,,,Y24,36,GBP,,,
C81383,A/79627,2024-05-27,13675.04,,GBP,,FJR,,,junk,0,m5,GBP,,,
,A-3000667,2024-05-02,"21,892.41",21925.93453222364,EUR,,DXB,,,,Y24,m5,EUR,x,,
C68720,A-7383979,02 May 2024,,11844.68436659615,SAR,Pending,DXB,ok,,,Y24,27,SAR,,,
C97315,A-3581466,May-25-24,1301.7973104301645,1302.57,OMR,Open,  AAN,ok,,junk,Y24,,OMR,,,
,A-2965186,22/05/2024,,9996.25,SAR,Open,AAN,ok,,,1,32,SAR,,,
C27921,A-8545134,03 May 2024,1330.389372514751,1335.45,EUR,,SHJ,needs review,,,Y24,m5,EUR,,,
C27115,A-9516405,15/05/2024,3776.02,3776.02,SAR,CANCELLED,UAQ,needs review,,junk,,,SAR,,,
C29616,A-7289114,04/05/2024,-4217.490473248782,not available,EUR,,UAQ,!!!,,,Y24,m5,EUR,,,
C21726,A/80112,24/05/2024,-34.735604954088,-23.43,SAR,Closed,SHJ,,,,,m5,SAR,,,
C94441,A/33677,12 May 2024,27689.29,27689.29,AED,,FJR,ok,junk,,Y24,m5,AED,,,
C86181,A-2961517,2024-05-19,(9134.20),9133.732045828046,gbp ,CANCELLED,AUH,needs review,,,Y24,,GBP,x,,
C57236,A-4766857,28 May 2024,26595.31775232838,(26608.15),AED,Open,AAN,,,,Y24,m5,AED,,,
C27375,A-2533648,21/05/2024,26038.78307179347,(26011.89),EUR,,UAQ,ملاحظة,,,1,,EUR,,,
C40451,A-6488756,2024-05-16,(4779.14),"-4,813.57",SAR,Open,FJR,,,,0,56,SAR,x,,
,A-3056122,2024-05-02 00:00:00,,7018.109287468936,SAR,Pending,AAN,,,,Y24,m5,SAR,,x,
,A-2711198,0000-00-00,3105.98,3092.921743160805,AED,Pending,  FJR,ok,,,0,m5,AED,,,
C86291,A-5441848,2024-05-10 00:00:00,(72.80),-62.93,AED,Pending,SHJ,ok,,,Y24,m5,AED,,,
C76209,A-7903710,May-20-24,(7536.75),(7529.91),AED,CANCELLED,FJR,ok,junk,,Y24,,AED,,x,
C78748,A-2748856,May-16-24,3384.69,3412.4987968549576,USD,,AUH,ملاحظة,,,Y24,m5,USD,,,x
,A-6682830,2024-05-12,-375.15,,AED,CANCELLED,AUH,!!!,,,1,m5,AED,,,
C20546,A/40364,May-13-24,17737.11,17737.11,EUR,Open,SHJ,ملاحظة,,,Y24,m5,EUR,x,,
C43481,A-5817045,17 May 2024,19403.13,,AED,Closed,SHJ,!!!,,,0,,AED,,,
,A-9955507,,"20,896.07","20,858.72",OMR,In Review,AAN,,,junk,1,m5,OMR,,,
C24981,A-3244486,17 May 2024,,-4250.63,OMR,Open,UAQ,,,,Y24,m5,OMR,,,
C53887,A-4577998,2024-05-11,,(11621.05),AED,,FJR,needs review,,,0,27,AED,,,
C35631,A-9231934,16 May 2024,4775.67,,eur ,In Review,RAK,,,,Y24,40,EUR,x,,
C19603,A/73419,2024-05-06,not available,(910.30),SAR,In Review,AUH,,,,,m5,sar ,,,
C98398,A-9987636,2024-05-23 00:00:00,18799.69,"18,799.69",SAR,Open,AAN,ok,,,1,m5,SAR,,,
C22335,A-9324202,May-05-24,"-5,767.17",-5813.661630752384,EUR,,AAN,needs review,,,,,EUR,x,,
C28989,A-2487180,,,22397.618577743695,SAR,Closed,UAQ,,,,Y24,49,SAR,x,x,x
C83718,A-1589958,,17168.6,"17,168.60",OMR,,FJR,,,junk,Y24,,omr ,,,
C69209,A-9618830,05/05/2024,24304.593108746027,24282.9,GBP,In Review,AAN,needs review,,,Y24,,GBP,,,
C41490,A-5909157,02/05/2024,"14,378.05","14,423.17",EUR,Closed,AAN,ok,,,Y24,93,EUR,,,
C66720,A-3311170,2024-05-04,(15233.65),"15,233.65",OMR,Open,AUH,ok,,junk,Y24,m5,OMR,,,
C29448,A/36733,2024-05-22 00:00:00,21524.05,"21,524.05",GBP,In Review,SHJ,ok,,junk,,,GBP,,,
C49807,A-9601519,2024-05-04 00:00:00,(16535.38),16544.66,EUR,,RAK,!!!,,,0,m5,EUR,,,
C11154,A-6067064,0000-00-00,,17394.545552495805,AED,In Review,AUH,ok,,junk,1,26,AED,,,
C22835,A-3217386,16 May 2024,,1923.45,GBP,,FJR,ok,,,Y24,m5,GBP,,,x
C24321,A-7512457,2024-05-20 00:00:00,9274.06,9283.673780756822,USD,In Review,AAN,needs review,junk,,Y24,,USD,,,
C39294,A-3123771,,,24782.53,USD,CANCELLED,FJR,!!!,,junk,Y24,,USD,,x,
C23453,,2024-05-19,15525.36,15525.36,GBP,Open,AUH,!!!,,,,,GBP,,,
C83224,A-7746519,17/05/2024,,18821.5,SAR,,RAK,ok,,,,m5,SAR,,,x
C68104,A/30793,2024-05-01,22366.25,22366.25,USD,Closed,DXB,needs review,,,Y24,m5,USD,,,
C45575,A-6905933,,12811.34203875221,,SAR,In Review,AUH,needs review,,,,,SAR,,,
C86104,A-1607900,2024-05-07,"-2,546.27",,USD,Closed,AUH,ok,junk,,Y24,m5,USD,,,
C10464,A-2840317,2024-05-13,25052.46741900181,25007.66178920875,EUR,Open,FJR,ok,,,0,10,EUR,,,
C69543,A/16826,2024-05-11,(19493.66),19447.06,GBP,Closed,AAN,ok,,,,,GBP,,,
,A-6805105,2024-05-21,10376.23,10376.23,EUR,,RAK,ok,,,0,m5,EUR,x,,
C43942,A/47974,32/13/2023,not available,21057.23,SAR,Closed,DXB,ok,junk,,Y24,76,SAR,,,
C20207,A-5483127,01 May 2024,3521.303255714947,"3,494.03",EUR,CANCELLED,FJR,ok,,,Y24,16,EUR,,,
C93679,A-8203765,May-20-24,16426.14,"16,426.14",OMR,Closed,AUH,ok,,,Y24,,OMR,,,
,A-1967999,2024-05-22,-3601.07,-3601.07,USD,,FJR,needs review,,,1,89,USD,,,
C70187,A-7216319,23 May 2024,"11,245.80",,SAR,Pending,RAK,,,,Y24,95,SAR,,x,
C98139,A-6592426,16/05/2024,23255.15,,AED,In Review,AAN,ok,junk,,Y24,m5,AED,,,x
,A-2663436,08 May 2024,"14,927.44",14927.85,USD,,SHJ,ok,,,1,m5,USD,,,x
C52248,A-1695255,2024-05-12,(950.30),-982.7177541533829,AED,Open,  RAK,ok,,,,,AED,,,
