CUST IDENTIFIER,ACC_KEY,Unnamed: 0,Gross_Amount, amt  ,Currency,txn_status, Region  ,OPS_COMMENT,_REASON_TEXT__,,year_added_2024,new_col_202408,mystery_2024_08_74,mystery_2024_08_9
C87696,A-5427104,,28852.58304799038,28902.47,EUR,Open,SHJ,,,,,m8,,
C82045,A/84825,,,21464.84,AED,In Review,FJR,needs review,needs review,,0,m8,,
C52209,A-1461600,,28331.24,28331.24,OMR,Open,DXB,,,,Y24,,,
C80305,A-7621143,,-474.11,(474.11),AED,,RAK,needs review,needs review,,Y24,,,
C80634,A-2680197,,,,AED,,SHJ,needs review,needs review,,1,,,
C26796,A-3830063,x,4918.79,4918.79,EUR,,UAQ,!!!,!!!,,Y24,m8,,
C49674,A-5825393,,(1919.05),-1898.09,GBP,,AUH,,,,0,,,
C82888,A-6728464,,12026.990852372526,,USD,Open,FJR,ok,ok,,Y24,m8,,
C97255,,,,18067.61817762081,EUR,Closed,AAN,ملاحظة,ملاحظة,,1,29,,
C99262,,,"28,660.48","28,660.48",aed ,Pending,SHJ,needs review,needs review,,Y24,m8,,
,A-3299795,,,12683.18,SAR,Open,AAN,ملاحظة,ملاحظة,,1,m8,,
C48493,A-7987007,,7775.64,(7775.64),AED,,AAN,,,,,,,x
C60448,A-7285405,,not available,-1978.23,gbp ,Closed,RAK,needs review,needs review,,0,m8,,
C57783,A-1153701,,1387.84,,EUR,Open,SHJ,ok,ok,,,m8,,
C94584,A-5842089,,(14755.09),(14755.09),EUR,Pending,AUH,,,,Y24,10,,
C38696,A-1074817,,19141.616682744927,,OMR,,SHJ,!!!,!!!,,0,,,
C54376,A-8732552,,22527.62,22527.62,USD,Open,AAN,ok,ok,,Y24,m8,,
C47681,A-8056507,,,13858.86,SAR,Closed,RAK,ملاحظة,ملاحظة,,Y24,m8,,
C36147,A-6649983,x,20293.25,20293.25,OMR,CANCELLED,  SHJ,,,,,,,
C71369,A/54699,x,-3215.1,(3215.10),OMR,CANCELLED,DXB,,,,1,m8,,
C60232,A-5894164,x,,(2891.76),AED,,UAQ,ملاحظة,ملاحظة,,,m8,,
C48008,A-3161109,,not available,"28,103.06",GBP,Open,RAK,needs review,needs review,,Y24,m8,,
C21579,A-1268792,,198.75895716022666,,USD,Open,  AAN,ok,ok,,Y24,63,,
C74123,A-5790616,,7269.204902593248,(7255.83),sar ,,AAN,ok,ok,,Y24,90,,
C77591,A-7058726,,-297.67,-297.67,GBP,Closed,FJR,ok,ok,,1,49,,
,A/92472,,(18187.88),18187.88,OMR,CANCELLED,RAK,,,,Y24,68,,
C56235,A-4220541,,"-2,924.98",-2924.98,USD,Open,FJR,ok,ok,,Y24,,,
C81489,A-7009016,,,,AED,In Review,FJR,ok,ok,,,m8,,
C34120,A-9493869,,21853.54,,AED,Closed,SHJ,,,,Y24,,x,
C88587,,,26200.5,(26200.50),USD,Pending,AUH,ملاحظة,ملاحظة,,Y24,,,
C71255,A-9548925,,8289.975635385508,8261.57,EUR,CANCELLED,DXB,,,,Y24,m8,x,
,A-9370762,,1804.42,1804.42,GBP,CANCELLED,  UAQ,,,,,m8,,
,A-8216013,,8158.52,8108.605703961056,USD,Open,FJR,ok,ok,,1,m8,,
C56527,A-4412006,,19792.26,19792.26,eur ,,RAK,ملاحظة,ملاحظة,,Y24,m8,,
C85653,A-8379922,,8742.61,8763.372429904177,USD,,AAN,ok,ok,,Y24,60,,
C89711,A-1877181,,4611,"4,611.00",AED,In Review,FJR,needs review,needs review,,Y24,,,
C93495,A/19785,,21530.73,"21,504.82",EUR,Pending,AUH,ok,ok,junk,1,,,
C80813,A-1295835,,3936.33,3936.33,EUR,,RAK,ok,ok,,Y24,m8,,
C15252,A-9136290,,"23,520.73","23,521.55",GBP,CANCELLED,RAK,needs review,needs review,,,96,,
C13799,A-6395977,,7294.75,7276.099257787419,OMR,In Review,AUH,ok,ok,junk,Y24,m8,,
C59308,A-2257211,,22612.67,22612.67,USD,Pending,AAN,needs review,needs review,,,95,,
C11715,A-5209162,,25042.37,(25081.52),eur ,,AUH,ملاحظة,ملاحظة,junk,,,,
C71813,A-1426616,,"-2,690.86",-2690.86,AED,CANCELLED,SHJ,ملاحظة,ملاحظة,junk,1,m8,,x
C52245,A/6902,,4236.86,,EUR,In Review,UAQ,ok,ok,,0,m8,,
,A-5218760,,,,EUR,Closed,SHJ,needs review,needs review,,Y24,,,
C86608,A-8771355,,28796.70395022332,"28,842.95",SAR,Open,SHJ,needs review,needs review,,Y24,m8,,
C23920,A-1000452,,9713.05,9746.209761340362,USD,Closed,UAQ,,,,Y24,m8,,x
C78869,A-8175410,,3126.717700135512,3216.171757877238,omr ,CANCELLED,  AUH,ok,ok,,Y24,,,
C35548,A-2569213,,"27,071.96","27,071.96",EUR,Pending,RAK,needs review,needs review,,1,59,,
C20721,A-3712765,,20793.69,,USD,CANCELLED,DXB,ok,ok,,0,30,x,x
C28953,A-7996684,,16896,16896,EUR,In Review,DXB,!!!,!!!,,,m8,,
C93090,A-1844628,,15124.81,15124.81,EUR,In Review,FJR,ok,ok,,Y24,m8,x,
C92394,A-7974434,,12198.37,12198.37,EUR,,  SHJ,ok,ok,,Y24,54,,
C57728,A/30798,,2610.46,2610.46,OMR,,UAQ,,,,Y24,,,
C91110,A-1543733,,22001.21,22001.21,AED,Pending,AUH,ملاحظة,ملاحظة,junk,Y24,m8,x,
C27800,A-1394840,,11627.28519917532,11594.46,EUR,Open,AAN,ملاحظة,ملاحظة,,Y24,,,
C88471,A/24646,,"-6,920.12",-6920.12,AED,,UAQ,,,,,m8,,
,A-1718329,,26457.83775259479,26481.80459628626,USD,Open,AUH,ملاحظة,ملاحظة,,Y24,m8,,
C13243,,,19927.33185821684,19916.87,gbp ,,AAN,ok,ok,,0,,,
C41830,,,"7,779.73",,EUR,In Review,  AUH,,,,Y24,,,
C94114,A-4092548,,,(20142.95),SAR,CANCELLED,AUH,ok,ok,,0,,,
C49432,A-4144369,,"13,700.60",13671.45167853677,OMR,,AAN,ملاحظة,ملاحظة,,Y24,87,,
,A-8573867,x,2915.45,,USD,CANCELLED,FJR,ملاحظة,ملاحظة,,0,m8,x,x
,A-5475289,,5204.21,,sar ,,DXB,!!!,!!!,,Y24,28,x,
C27786,A-9473130,,12685.143933512567,12718.28,OMR,Pending,UAQ,ok,ok,,,m8,,
C44538,A-4532497,,10195.83,10195.83,SAR,,DXB,needs review,needs review,,Y24,,,
C27118,A/24879,,17304.2,(17304.20),usd ,CANCELLED,UAQ,needs review,needs review,,Y24,m8,,
C44842,A-5424979,,,26319.99,EUR,Closed,  SHJ,ok,ok,,Y24,m8,,
