 ClientNumber  ,ledger_account,posting_dt,amount_(aed),Amt,Currency,_txn_status__,Unnamed: 0,_Notes__,Notes,,year_added_2024, new_col_202410 ,Customer Id,mystery_2024_10_1,mystery_2024_10_52,mystery_2024_10_90,mystery_2024_10_56
C14285,A-9102749,Oct-20-24,27882.38,,SAR,Pending,,ok,ok,,,m10,C14285,x,,,
C97830,A/18163,32/13/2023,22523.45,not available,AED,In Review,,ok,ok,,Y24,m10,C97830,,,,x
C71757,A-3856049,32/13/2023,881.32,881.32,USD,Open,,needs review,needs review,,Y24,46,C71757,,,,
,A-5946363,10 October 2024,(6935.13),,SAR,Pending,,ok,ok,,,76,,,,,
C20036,A-3573790,2024-10-03,,(5892.02),EUR,Pending,,ok,ok,,,,C20036,,,,
C39320,A-9667012,2024-10-05,(29004.23),28956.2,AED,,,,,,Y24,26,C39320,,,,
C54692,A-3321280,Oct-17-24,-4397.29,-4397.29,SAR,Closed,,ok,ok,,Y24,25,C54692,,,,
C55072,A-2452703,0000-00-00,,,EUR,Pending,,ok,ok,,0,m10,C55072,,,,
C68243,A-8287413,Oct-14-24,"-3,998.04","-4,026.69",GBP,CANCELLED,,ok,ok,,Y24,m10,C68243,,x,,
C59293,A-5021787,0000-00-00,"15,215.99",15260.66356905844,SAR,Open,,!!!,!!!,,,,C59293,,,,
C18757,A-2936917,Oct-17-24,"8,810.61","8,857.61",SAR,,,needs review,needs review,,Y24,,C18757,,,,
C56775,A-2643121,2024-10-04,28429.94,28429.94,USD,Closed,,,,,Y24,m10,C56775,,,,
C76389,A-3548307,21/10/2024,11963.3,11963.3,USD,Pending,,needs review,needs review,,0,m10,C76389,,x,,
C94449,A-7874321,08 October 2024,-216.73,-220.1740813343552,EUR,Open,,,,,Y24,,C94449,,,,
C44986,A-3910967,Oct-08-24,17460.47042422198,"17,501.72",USD,CANCELLED,,ok,ok,,,m10,C44986,x,x,,
C79912,A-5797133,2024-10-04,(17973.72),18010.37,GBP,,,ok,ok,,,m10,C79912,,,,
C16509,A-7969845,2024-10-24,,"-6,002.11",SAR,Closed,,ملاحظة,ملاحظة,junk,Y24,17,C16509,,,,
C94568,A-7485698,2024-10-04,26293.22,26293.22,USD,,,!!!,!!!,,Y24,,C94568,,,,
C66870,A-1322353,0000-00-00,21297.73,"21,297.73",EUR,CANCELLED,,ok,ok,,Y24,m10,C66870,x,,,
