 CID  , ledger_account  ,Date,VALUE,txn_value,CURR.,State,branch, remarks  ,REASON_TEXT,,YEAR_ADDED_2024, new_col_202411 ,,mystery_2024_11_21,mystery_2024_11_56,mystery_2024_11_22,mystery_2024_11_96
C18909,A-1920447,Nov-13-24,-2878.76,(2878.76),AED,CANCELLED,RAK,,,,Y24,m11,,,,,x
,A-3346832,2024-11-15 00:00:00,,not available,OMR,CANCELLED,DXB,needs review,needs review,,0,m11,,,,,
C89500,A-8338762,13/11/2024,(3897.05),3910.145619740673,EUR,In Review,SHJ,,,,1,m11,,,,x,
,A-3384413,09 November 2024,15721.54,15721.54,SAR,Open,FJR,ok,ok,,,50,,,,,
C18860,A/52379,21 November 2024,-6967.63,-6967.63,GBP,,UAQ,,,,Y24,47,,,,,
C34862,A-7867487,2024-11-19,28180.99070370302,28145.94,AED,In Review,AUH,ok,ok,,1,,,,,,
,A-5845504,32/13/2023,21886.09217774839,21930.13342381267,USD,Closed,SHJ,ok,ok,,Y24,m11,,,,,
C15196,A-1850430,2024-11-26,22671.96043188759,22639.97,GBP,,RAK,!!!,!!!,,Y24,97,,,,,
C65813,A-1612505,20/11/2024,5033.71,5033.71,EUR,Closed,RAK,ok,ok,,Y24,98,,,,,
,A-2340080,05/11/2024,26448.58,"26,448.58",OMR,Open,UAQ,,,,0,,,,,,x
C35887,A/45916,24 November 2024,27568.74,27568.74,AED,,  RAK,ملاحظة,ملاحظة,,Y24,57,junk,,,,
C34576,A-7417766,2024-11-10,25546.29,25577.63687889598,EUR,,RAK,ok,ok,,Y24,m11,,,x,,
C32209,A/32862,Nov-19-24,22449.67,,USD,In Review,FJR,,,,Y24,31,,,,,
C35347,A-4900020,2024-11-23,-1196.810408011609,-1216.19,GBP,,AUH,ok,ok,,1,m11,,,,,
C35076,A-5772656,32/13/2023,,6934.61,OMR,Pending,DXB,,,,Y24,53,,,,,x
C49179,A-7655390,2024-11-06,28039.48,28039.48,EUR,,RAK,needs review,needs review,,,,,,,x,
C36558,A/81591,2024-11-04 00:00:00,-6267.79,-6267.79,USD,Pending,FJR,!!!,!!!,,,m11,junk,,,,
C69429,A-4939009,Nov-04-24,,,SAR,Closed,RAK,ok,ok,,,,,x,,,
C68783,,2024-11-09,24702.29204215764,not available,OMR,Open,RAK,!!!,!!!,,Y24,m11,,,x,,
