CLIENT_REF (v2),GL_ACC, POSTING DATE  #,NET_VALUE,,CCY_CODE,state,Area,Commentary, NOTES  ,,year_added_2024,new_col_202404,mystery_2024_04_95,mystery_2024_04_99,mystery_2024_04_77,mystery_2024_04_21,mystery_2024_04_97
C55286,A-9324854,,24106.99,,EUR,Closed,UAQ,needs review,needs review,,Y24,m4,,,,,
C71479,A-6721115,2024-04-02,-2107.861685117778,,USD,Closed,SHJ,needs review,needs review,,0,22,x,,,,
C46538,A-2424440,2024-04-14 00:00:00,25410.39,,SAR,,AUH,!!!,!!!,,Y24,m4,,,,x,
,A-6388205,2024-04-23,21054.59022391375,,OMR,Open,DXB,needs review,needs review,,Y24,m4,,,,,
C47074,A-6892361,0000-00-00,2249.133413505079,,EUR,Pending,  UAQ,ok,ok,,0,m4,,,,,
C98318,A-5998038,Apr-26-24,27752.07,,SAR,Closed,DXB,ok,ok,,1,m4,,,,,
C70679,A-3424574,03 April 2024,-6607.65,,SAR,Open,RAK,ok,ok,,Y24,m4,,,,,
C99067,A-7863277,05 April 2024,,,USD,,AAN,ok,ok,,,,,,,x,
C62397,A-5316313,21/04/2024,"-3,004.80",,gbp ,,RAK,needs review,needs review,,1,33,,,,,
C24953,A-9499712,21/04/2024,10637.03,,GBP,Closed,  SHJ,ok,ok,,Y24,,,,,,
,A/86326,20/04/2024,-3060.954039200185,,OMR,Open,FJR,,,,,15,,,,,
C94268,A/99997,2024-04-04,27331.73,,EUR,Open,SHJ,ok,ok,junk,1,m4,,,,,
C82608,A-5769975,32/13/2023,(25390.99),junk,SAR,In Review,FJR,,,,,m4,,,,,
C38278,A-3038875,15 April 2024,3473.1,,AED,Closed,  UAQ,ok,ok,,Y24,,x,,,,
C39312,A-4546254,27 April 2024,(4540.36),,OMR,Pending,RAK,ok,ok,,Y24,m4,,,,,
,A-1557205,32/13/2023,11613.96,,EUR,CANCELLED,  RAK,ok,ok,,Y24,75,,,,,
C91600,A-8810428,Apr-27-24,"3,225.94",,OMR,Open,DXB,ملاحظة,ملاحظة,,Y24,,,,,,
,A-3807618,2024-04-23,,,AED,,DXB,ملاحظة,ملاحظة,,0,m4,,,,,
C76468,A-9778400,19 April 2024,13419.28,,OMR,,SHJ,,,,0,m4,,,x,,
C83464,A-6978623,32/13/2023,"-6,481.39",,EUR,,AUH,,,,,m4,,,,,
,A-2708090,Apr-26-24,,junk,GBP,,  AAN,ok,ok,junk,Y24,58,,,,,x
C43466,A-5740327,09/04/2024,4158.318034638505,junk,AED,CANCELLED,UAQ,,,,Y24,m4,,,,,
C76970,A-3165039,0000-00-00,9801.95,,GBP,Closed,RAK,!!!,!!!,,,93,,,,,
,A-7737389,23 April 2024,not available,,SAR,CANCELLED,  SHJ,ok,ok,,1,m4,,,,,
C42468,A-1621368,2024-04-17 00:00:00,6517.613183659536,,AED,Closed,SHJ,ملاحظة,ملاحظة,,Y24,67,,,,x,
,A-6422267,Apr-01-24,(8249.02),,GBP,Closed,AAN,ok,ok,,0,m4,,,,,
C46450,A-6897048,20/04/2024,-7592.25,,GBP,Pending,RAK,ok,ok,,1,61,,,,,
C51870,A-5524716,Apr-22-24,29088.45,,OMR,Closed,DXB,,,,Y24,,,,,,
C84860,A-7778425,07/04/2024,8990.35,,USD,Open,AAN,needs review,needs review,,Y24,m4,x,x,,,
C12598,A-7499073,08 April 2024,16848.86,,OMR,Open,UAQ,ok,ok,junk,Y24,m4,,,,,
C51710,A-5717940,Apr-25-24,12587.27,,SAR,Pending,SHJ,needs review,needs review,,,,,x,,x,
,A-1409020,2024-04-07 00:00:00,8244.78,,EUR,CANCELLED,AUH,ok,ok,,Y24,35,,,,,
C93803,A-8759967,26 April 2024,28969.75,junk,AED,,SHJ,,,,,m4,,,,,
C11680,A-1569920,Apr-16-24,1610.429449130223,,OMR,Open,SHJ,,,,1,m4,,,,,x
C15570,A-6892099,2024-04-01 00:00:00,21814.64,,USD,In Review,RAK,!!!,!!!,,Y24,16,,,,,
C52236,A/94030,26/04/2024,,,EUR,,DXB,ok,ok,,Y24,m4,,x,,,
C55609,A-2337202,2024-04-25 00:00:00,,junk,OMR,In Review,DXB,needs review,needs review,,1,,,,,,
,A-2145474,32/13/2023,(5403.89),junk,EUR,Closed,RAK,ok,ok,,Y24,m4,,x,,,
C84675,A-2437213,Apr-13-24,"-2,449.69",,OMR,Open,DXB,needs review,needs review,,,,,,x,,
C71311,A-3145287,2024-04-22,-1843.92,,omr ,CANCELLED,DXB,,,,Y24,m4,,,x,,
C59524,A-2403843,03 April 2024,9034.59,,EUR,Open,DXB,ok,ok,,,,,,,,
C38700,A-5945602,23/04/2024,,,USD,In Review,AAN,needs review,needs review,,,m4,,,,,
C17786,A-1141004,Apr-18-24,-5584.77,,AED,CANCELLED,SHJ,,,junk,0,,,,,,
C16343,A-3400420,2024-04-07,(13761.59),,aed ,CANCELLED,DXB,ok,ok,,,m4,,,,,
C42270,A-4505251,06 April 2024,29982.82,,SAR,Pending,RAK,ok,ok,,0,68,,,,,
C14298,A/84995,2024-04-27,"29,762.60",,OMR,,UAQ,needs review,needs review,,,m4,,,,,
C74316,A/62824,,-1357.566389639102,,GBP,In Review,AUH,,,,Y24,m4,,,,,
C51825,A-3323881,08/04/2024,27391.80363250828,,SAR,Pending,RAK,,,,0,,,,,,
C43520,A-9466239,06/04/2024,-307.84,,EUR,,DXB,ok,ok,,,m4,,x,,,
C23590,A-6847191,2024-04-11,-4589.57,,SAR,,AUH,ملاحظة,ملاحظة,,Y24,m4,,,,,
C77014,A-7537684,,,,AED,,AAN,ok,ok,,Y24,m4,,,,,
C99213,A/9822,2024-04-08,25304.2177690332,,OMR,Open,RAK,,,,Y24,m4,,x,x,,
C46149,A/328,09/04/2024,25155.96,,USD,,UAQ,,,,Y24,m4,,,,,
C65381,A-6553673,2024-04-06,-3094.839724651009,,USD,Pending,DXB,ok,ok,,Y24,,,,,,
C11658,A-8858604,11/04/2024,7710.09,,USD,,AUH,ok,ok,,1,m4,,,,,
C54170,A-6795676,2024-04-12,13981.77,,sar ,Pending,AUH,needs review,needs review,,Y24,m4,,,,,
C87616,A-4894446,32/13/2023,4659.63,,OMR,In Review,DXB,ok,ok,,Y24,70,,,,,
C44049,A-5208878,2024-04-18,1991.41,junk,OMR,Pending,  AAN,!!!,!!!,,,81,,,,,
C14406,A-2539262,28 April 2024,28067.65,,EUR,CANCELLED,FJR,needs review,needs review,,,,,,x,,
C27416,A/96322,2024-04-26 00:00:00,26266.07,,EUR,In Review,  SHJ,,,,,35,,x,,,
C39095,A-7018928,05 April 2024,2556.39,,EUR,,  AAN,ok,ok,,,m4,,,,,
,A-8864590,Apr-01-24,"1,761.56",,OMR,,SHJ,ok,ok,,Y24,m4,,,,,
C33171,A-1171370,32/13/2023,8815.9,,EUR,In Review,UAQ,ok,ok,,Y24,34,,,,x,
C45932,A/72674,2024-04-03,13804.31,,AED,Open,SHJ,,,,1,11,,,,,
C60654,A-6958628,2024-04-23 00:00:00,"13,755.63",,aed ,CANCELLED,UAQ,,,,Y24,89,,x,x,,
C82998,A-1500279,2024-04-06,25419.26211050347,,GBP,In Review,SHJ,,,,,m4,,,,,
,A-3549240,2024-04-09,255.3,,GBP,,AUH,needs review,needs review,,1,,,x,,,
