customer id,Acct,posting_date, amount (AED)   (v2),Gross Amount (v2),Currency,State,Unnamed: 0,,MEMO,,year_added_2024, new_col_202403 ,remarks,mystery_2024_03_63,mystery_2024_03_41,mystery_2024_03_47,mystery_2024_03_50,mystery_2024_03_98
C30020,A-3202308,Mar-27-24,(2843.94),"2,843.94",USD,Pending,,junk,needs review,,0,,needs review,,,,,
C42610,A-8082628,Mar-05-24,"12,834.61",12834.61,omr ,Pending,,,needs review,,1,,needs review,,,,,
,A-3921264,13/03/2024,16791.23376645846,16779.67,OMR,CANCELLED,,,needs review,,0,88,needs review,,,,,
C13670,A-6911636,2024-03-04,15668.05,"15,668.05",GBP,Open,x,junk,,,,,,,,,,
C83918,A-2954690,01/03/2024,"10,836.46",,USD,Closed,,,ملاحظة,,,56,ملاحظة,,,,,
C37418,A-7191552,0000-00-00,not available,3577.0,AED,,,junk,needs review,,Y24,m3,needs review,,,,,
C32766,A-2473183,2024-03-26,-7721.48,-7721.48,AED,Pending,,,ملاحظة,,,46,ملاحظة,,,,x,x
C18735,A-3454838,24 March 2024,2820.43,2820.43,USD,In Review,,,needs review,,,,needs review,,,,,
C10670,A-4366476,03/03/2024,-6317.13,,OMR,Open,,junk,,,Y24,m3,,,,,,
,A-3311858,21 March 2024,3430.5,3430.5,AED,,,,,,,m3,,,,,,
C85619,A-8773656,Mar-08-24,"-3,761.51",-3740.8854497176953,GBP,Open,x,,needs review,,,m3,needs review,,,,,
C10171,A/38139,Mar-24-24,-7195.19,-7195.19,EUR,,,,ملاحظة,,Y24,m3,ملاحظة,,,,,
C62503,A-7968749,2024-03-19,-4108.6725180648245,"-4,088.86",AED,,,,,,,m3,,,,,x,
C81431,A-9122760,2024-03-02,,4787.17,OMR,Pending,,junk,ok,,0,,ok,,,,x,
C42373,A-7624863,14/03/2024,,(21119.71),EUR,,x,junk,ok,junk,,m3,ok,,,,,
,A-7863354,05/03/2024,25965.79,25993.61510671059,OMR,In Review,,,needs review,,Y24,,needs review,,,,,
C59953,A-7213262,Mar-22-24,(11153.64),11153.64,AED,Closed,,junk,,,,m3,,,,,,
C91903,A-1236307,2024-03-02,(12130.88),12130.88,EUR,,x,,ok,,,m3,ok,,,,,x
C28160,A-5472090,Mar-06-24,(11287.79),,AED,Closed,x,,ok,junk,Y24,m3,ok,,,,,
C10318,A-3385986,18/03/2024,3447.41,,SAR,In Review,,,needs review,junk,0,66,needs review,,x,,,
C63201,A-2656442,2024-03-14 00:00:00,(6788.96),"6,756.38",OMR,Closed,,,ملاحظة,,Y24,,ملاحظة,,,,,
C82397,A/15088,2024-03-02 00:00:00,4547.25,"4,542.42",GBP,Pending,,,ok,,Y24,m3,ok,,,,,
C43338,A-4446419,2024-03-14,,3553.49,AED,Closed,x,,ok,,,50,ok,x,x,,,
C70096,A-4793712,21/03/2024,7390.195640659941,7408.42,OMR,Open,x,,needs review,,1,,needs review,,,,,
C79325,A-8916642,2024-03-15 00:00:00,"9,972.35",(9937.73),USD,,,,needs review,,Y24,m3,needs review,,,,,
C90299,A-7190901,2024-03-27,"-1,462.65",-1462.65,OMR,Closed,,,ok,,Y24,m3,ok,,,,,
C30862,A-4354103,08/03/2024,17000.66,17000.66,EUR,CANCELLED,,,ملاحظة,,Y24,46,ملاحظة,,x,,,
C64689,A-2903208,Mar-18-24,13358.07,,SAR,,,,ok,,0,m3,ok,,,,,
C16685,A-9742294,05/03/2024,28129.83,,GBP,CANCELLED,,,ملاحظة,,,m3,ملاحظة,,,,,
C12690,A-3363606,,"20,585.09",(20616.05),GBP,Pending,,,needs review,,,,needs review,x,,x,,
C45656,A-9116840,Mar-13-24,-7374.874169363947,-7379.48,USD,,,,,,Y24,m3,,,x,,,
,A-5248857,25 March 2024,,-2944.995903677211,SAR,Open,,,needs review,,0,m3,needs review,,,,,
,A-1286609,13/03/2024,-3446.1128855307124,-3420.85,SAR,,,,,,1,24,,,,x,,
,A-9958860,Mar-09-24,"-1,025.56",-1025.56,AED,In Review,,,,,Y24,m3,,,x,,,
C18031,A-8505417,2024-03-08,-6201.07,(6201.07),USD,In Review,,,needs review,,Y24,m3,needs review,,,,,
C10526,A-9032065,10 March 2024,13133.01,13092.54920536462,EUR,Closed,,,,,1,,,,,,x,
C34706,A-4477754,Mar-13-24,,8040.54,AED,,,,ok,,Y24,m3,ok,,,,x,
,A-9952044,06 March 2024,,18289.43,GBP,In Review,,junk,,,,91,,,,,,
