Unnamed: 0,beneficiary_id#,Loss Date,paid_val,PAID_VAL,,,batch_identifier,COMMS (v2),_Internal_Comment__,,year_added_2023, new_col_202305 ,Unnamed: 0,mystery_2023_05_50,mystery_2023_05_63,mystery_2023_05_95,mystery_2023_05_96,mystery_2023_05_85
1,M99506,2023-05-08,,,,,,missing doc,missing doc,,,LOW,,,x,1,1,
x,,32/13/2023,7707.02,(7707.02),,junkflag,B090,missing doc,missing doc,,Y23,,,,,1,,1
1,M75372,2023-05-10 00:00:00,,44194.21,,,B002,ok,ok,junkflag,Y23,INC-2101,1,,,,,
,M51036,32/13/2023,44295.28561987646,44135.98,,,B118,ok,ok,,Y23,,,,,1,,1
x,m-533,19/05/2023,,(35230.45),,,,duplicate,duplicate,,Y23,,,,,,,
,M73290,2023-05-04,not available,"2,477.05",,,B096,ok,ok,,Y23,INC-5698,,,,,1,x
1,M89170,May-12-23,(41988.54),41988.54,,,B026,duplicate,duplicate,,IN,LOW,,1,,,1,
,M33944,,"12,250.93",,,,B044,ok,ok,,IN,,1,x,1,x,,
,M68452,2023-05-01,,19993.464708449035,,,,missing doc,missing doc,,IN,LOW,x,,,,,
,M29133,13 May 2023,49795.81,"49,795.81",,,B012,duplicate,duplicate,,Y23,INC-2637,1,1,,,,x
,m-94701,May-24-23,12808.74,not available,,,B113,duplicate,,,Y23,,1,,x,1,,
,M36417,12/05/2023,"45,382.00",45382,,,,,,,Y23,HIGH,,,,x,,1
,M99233,May-08-23,"38,377.40",38442.82,,,B016,,,,,,,,,,x,x
,M31434,2023-05-19,6461.93,,,,B039,مرفوض,,,Y23,,1,1,,1,x,
,M49290,May-07-23,9339.51,9339.51,,,B056,,,,,LOW,,,1,,,
1,,05 May 2023,20519.82,"20,519.82",,,B024,,ok,,,INC-4846,,1,x,,,
1,m-80403,May-04-23,"26,817.67",,,,B045,duplicate,duplicate,junkflag,Y23,HIGH,,,,,1,
,M14683,21 May 2023,"39,593.37",39969.18333878827,,,B035,ok,ok,,Y23,,,,1,1,x,
,M78284,May-15-23,28815.91,"28,815.91",,,B094,,,,Y23,,x,,,,,
