System,FileName,Month ,Year,Sheet Name
System_A,2021_Jun_ALPHA_dump.xlsx,JUN,2021,"['README', 'Posting ', 'NOTES', 'Pivot']"
System_A,2021_Oct_ALPHA_dump.xlsx,OCT,2021,"['README', 'Posting', 'NOTES', 'Pivot']"
System_A,ALPHA FY21 April Extract FINAL.xlsx,APR,2021,"['README', 'Posting', 'NOTES', 'Pivot']"
System_A,ALPHA FY21 August Extract FINAL.xlsx,AUG,2021,"['README', 'MAIN EXPORT ', 'NOTES', 'Pivot']"
System_A,ALPHA FY21 December Extract FINAL.xlsx,DEC,2021,"['README', 'Main Export ', 'NOTES', 'Pivot']"
System_A,ALPHA-2021-03 raw.xlsx,MAR,2021,"['README', 'Posting', 'NOTES', 'Pivot']"
System_A,ALPHA-2021-09 raw.xlsx,SEP,2021,"['README', 'Transactions', 'NOTES', 'Pivot']"
System_A,ALPHA__Feb-2021__export (draft).xlsx,FEB,2021,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,ALPHA__Jan'21__export (draft).xlsx,JAN,2021,"['README', 'Main', 'NOTES', 'Pivot']"
System_A,July_2021__ALPHA__HIST.xlsx,JUL,2021,"['README', 'MonthlyData', 'NOTES', 'Pivot']"
System_A,May_2021__ALPHA__HIST.xlsx,MAY,2021,"['README', 'LedgerView', 'NOTES', 'Pivot']"
System_A,November_2021__ALPHA__HIST.xlsx,NOV,2021,"['README', 'Posting', 'NOTES', 'Pivot']"
System_A,2022_Dec_ALPHA_dump.xlsx,DEC,2022,"['README', 'MAIN', 'NOTES', 'Pivot']"
System_A,2022_Jul_ALPHA_dump.xlsx,JUL,2022,"['README', 'DATA', 'NOTES', 'Pivot']"
System_A,ALPHA FY22 February Extract FINAL.xlsx,FEB,2022,"['README', 'Posting ', 'NOTES', 'Pivot']"
System_A,ALPHA FY22 May Extract FINAL.xlsx,MAY,2022,"['README', 'EXTRACT ', 'NOTES', 'Pivot']"
System_A,ALPHA FY22 October Extract FINAL.xlsx,OCT,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,ALPHA-2022-11 raw.xlsx,NOV,2022,"['README', 'Main', 'NOTES', 'Pivot']"
System_A,ALPHA_Extract__04_2022__v2.xlsx,APR,2022,"['README', 'Main ', 'NOTES', 'Pivot']"
System_A,ALPHA__2022.01__REPORT.xlsx,JAN,2022,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,ALPHA__2022.03__REPORT.xlsx,MAR,2022,"['README', 'DATA', 'NOTES', 'Pivot']"
System_A,ALPHA__2022.08__REPORT.xlsx,AUG,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,June_2022__ALPHA__HIST.xlsx,JUN,2022,"['README', 'DATA', 'NOTES', 'Pivot']"
System_A,September_2022__ALPHA__HIST.xlsx,SEP,2022,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,ALPHA FY23 July Extract FINAL.xlsx,JUL,2023,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,ALPHA FY23 October Extract FINAL.xlsx,OCT,2023,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,ALPHA FY23 September Extract FINAL.xlsx,SEP,2023,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,ALPHA_Extract__03_2023__v2.xlsx,MAR,2023,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,ALPHA_Extract__11_2023__v3.xlsx,NOV,2023,"['README', 'Posting ', 'NOTES', 'Pivot']"
System_A,ALPHA__Apr-2023__export (draft).xlsx,APR,2023,"['README', 'Transactions', 'NOTES', 'Pivot']"
System_A,ALPHA__Aug-2023__export (draft).xlsx,AUG,2023,"['README', 'MAIN EXPORT', 'NOTES', 'Pivot']"
System_A,ALPHA__Dec '23__export (draft).xlsx,DEC,2023,"['README', 'Posting ', 'NOTES', 'Pivot']"
System_A,ALPHA__Feb-2023__export (draft).xlsx,FEB,2023,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,January_2023__ALPHA__HIST.xlsx,JAN,2023,"['README', 'LedgerView', 'NOTES', 'Pivot']"
System_A,June_2023__ALPHA__HIST.xlsx,JUN,2023,"['README', 'Extract ', 'NOTES', 'Pivot']"
System_A,May_2023__ALPHA__HIST.xlsx,MAY,2023,"['README', 'Main Export', 'NOTES', 'Pivot']"
System_A,ALPHA FY24 December Extract FINAL.xlsx,DEC,2024,"['README', 'MonthlyData', 'NOTES', 'Pivot']"
System_A,ALPHA FY24 July Extract FINAL.xlsx,JUL,2024,"['README', 'Main Export', 'NOTES', 'Pivot']"
System_A,ALPHA-2024-01 raw.xlsx,JAN,2024,"['README', 'LedgerView', 'NOTES', 'Pivot']"
System_A,ALPHA-2024-09 raw.xlsx,SEP,2024,"['README', 'MonthlyData', 'NOTES', 'Pivot']"
System_A,ALPHA_Extract 31.8.2024__v1.xlsx,AUG,2024,"['README', 'Main Export', 'NOTES', 'Pivot']"
System_A,ALPHA_Extract__05_2024__v1.xlsx,MAY,2024,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,ALPHA__2024.10__REPORT.xlsx,OCT,2024,"['README', 'DATA', 'NOTES', 'Pivot']"
System_A,ALPHA__2024.11__REPORT.xlsx,NOV,2024,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_A,ALPHA__Apr-2024__export (draft).xlsx,APR,2024,"['README', 'LedgerView', 'NOTES', 'Pivot']"
System_A,February_2024__ALPHA__HIST.xlsx,FEB,2024,"['README', 'Extract', 'NOTES', 'Pivot']"
System_A,June_2024__ALPHA__HIST.xlsx,JUN,2024,"['README', 'LedgerView', 'NOTES', 'Pivot']"
System_A,March_2024__ALPHA__HIST.xlsx,MAR,2024,"['README', 'EXTRACT', 'NOTES', 'Pivot']"
System_B,2021_Dec_BETA_dump.xlsx,DEC,2021,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_B,2021_Oct_BETA_dump.xlsx,OCT,2021,"['README', 'Claims_Raw', 'NOTES', 'Pivot']"
System_B,BETA FY21 February Extract FINAL.xlsx,FEB,2021,"['README', 'BatchDetail', 'NOTES', 'Pivot']"
System_B,BETA FY21 May Extract FINAL.xlsx,MAY,2021,"['README', 'Claims', 'NOTES', 'Pivot']"
System_B,BETA FY21 September Extract FINAL.xlsx,SEP,2021,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_B,BETA-2021-01 raw.xlsx,JAN,2021,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA_Extract__04_2021__v1.xlsx,APR,2021,"['README', 'Claims_Raw ', 'NOTES', 'Pivot']"
System_B,BETA_Extract__07_2021__v2.xlsx,JUL,2021,"['README', 'Sheet1 ', 'NOTES', 'Pivot']"
System_B,BETA__2021.03__REPORT.xlsx,MAR,2021,"['README', 'EXTRACT', 'NOTES', 'Pivot']"
System_B,BETA__2021.08__REPORT.xlsx,AUG,2021,"['README', 'BatchDetail', 'NOTES', 'Pivot']"
System_B,June_2021__BETA__HIST.xlsx,JUN,2021,"['README', 'EXTRACT', 'NOTES', 'Pivot']"
System_B,November_2021__BETA__HIST.xlsx,NOV,2021,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_B,2022_Mar_BETA_dump.xlsx,MAR,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,2022_Oct_BETA_dump.xlsx,OCT,2022,"['README', 'Monthly Claims ', 'NOTES', 'Pivot']"
System_B,2022_Sep_BETA_dump.xlsx,SEP,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA FY22 August Extract FINAL.xlsx,AUG,2022,"['README', 'Claims_Raw', 'NOTES', 'Pivot']"
System_B,BETA-2022-02 raw.xlsx,FEB,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA_Extract__04_2022__v3.xlsx,APR,2022,"['README', 'BatchDetail', 'NOTES', 'Pivot']"
System_B,BETA__2022.01__REPORT.xlsx,JAN,2022,"['README', 'Monthly Claims', 'NOTES', 'Pivot']"
