relative_path,selected_sheet
System_A/2021/ALPHA__Jan-2021__export (draft).xlsx,Main
System_A/2021/ALPHA__Feb-2021__export (draft).xlsx,Extract
System_A/2021/ALPHA-2021-03 raw.xlsx,Posting
System_A/2021/ALPHA FY21 April Extract FINAL.xlsx,Posting
System_A/2021/May_2021__ALPHA__HIST.xlsx,LedgerView
System_A/2021/2021_Jun_ALPHA_dump.xlsx,Posting 
System_A/2021/July_2021__ALPHA__HIST.xlsx,MonthlyData
System_A/2021/ALPHA FY21 August Extract FINAL.xlsx,MAIN EXPORT 
System_A/2021/ALPHA-2021-09 raw.xlsx,Transactions
System_A/2021/2021_Oct_ALPHA_dump.xlsx,Posting
System_A/2021/November_2021__ALPHA__HIST.xlsx,Posting
System_A/2021/ALPHA FY21 December Extract FINAL.xlsx,Main Export 
System_A/2022/ALPHA__2022.01__REPORT.xlsx,Sheet1
System_A/2022/ALPHA FY22 February Extract FINAL.xlsx,Posting 
System_A/2022/ALPHA__2022.03__REPORT.xlsx,DATA
System_A/2022/ALPHA_Extract__04_2022__v2.xlsx,Main 
System_A/2022/ALPHA FY22 May Extract FINAL.xlsx,EXTRACT 
System_A/2022/June_2022__ALPHA__HIST.xlsx,DATA
System_A/2022/2022_Jul_ALPHA_dump.xlsx,DATA
System_A/2022/ALPHA__2022.08__REPORT.xlsx,Extract
System_A/2022/September_2022__ALPHA__HIST.xlsx,Sheet1
System_A/2022/ALPHA FY22 October Extract FINAL.xlsx,Extract
System_A/2022/ALPHA-2022-11 raw.xlsx,Main
System_A/2022/2022_Dec_ALPHA_dump.xlsx,MAIN
System_A/2023/January_2023__ALPHA__HIST.xlsx,LedgerView
System_A/2023/ALPHA__Feb-2023__export (draft).xlsx,Sheet1
System_A/2023/ALPHA_Extract__03_2023__v2.xlsx,Extract
System_A/2023/ALPHA__Apr-2023__export (draft).xlsx,Transactions
System_A/2023/May_2023__ALPHA__HIST.xlsx,Main Export
System_A/2023/June_2023__ALPHA__HIST.xlsx,Extract 
System_A/2023/ALPHA FY23 July Extract FINAL.xlsx,Sheet1
System_A/2023/ALPHA__Aug-2023__export (draft).xlsx,MAIN EXPORT
System_A/2023/ALPHA FY23 September Extract FINAL.xlsx,Extract
System_A/2023/ALPHA FY23 October Extract FINAL.xlsx,Sheet1
System_A/2023/ALPHA_Extract__11_2023__v3.xlsx,Posting 
System_A/2023/ALPHA__Dec-2023__export (draft).xlsx,Posting 
System_A/2024/ALPHA-2024-01 raw.xlsx,LedgerView
System_A/2024/February_2024__ALPHA__HIST.xlsx,Extract
System_A/2024/March_2024__ALPHA__HIST.xlsx,EXTRACT
System_A/2024/ALPHA__Apr-2024__export (draft).xlsx,LedgerView
System_A/2024/ALPHA_Extract__05_2024__v1.xlsx,Extract
System_A/2024/June_2024__ALPHA__HIST.xlsx,LedgerView
System_A/2024/ALPHA FY24 July Extract FINAL.xlsx,Main Export
System_A/2024/ALPHA_Extract__08_2024__v1.xlsx,Main Export
System_A/2024/ALPHA-2024-09 raw.xlsx,MonthlyData
System_A/2024/ALPHA__2024.10__REPORT.xlsx,DATA
System_A/2024/ALPHA__2024.11__REPORT.xlsx,Sheet1
System_A/2024/ALPHA FY24 December Extract FINAL.xlsx,MonthlyData
System_B/2021/BETA-2021-01 raw.xlsx,Extract
