System,YearFolder,FileName,RelativePath,SelectedSheet,ExtractedYear,ExtractedMonth,HeaderRow_1Indexed,HeaderCol_1Indexed,Extension
,,ALPHA__Feb-2021__export (draft).xlsx,System_A/2021/ALPHA__Feb-2021__export (draft).xlsx,Extract,2021,2,11,1,.xlsx
,,ALPHA-2021-03 raw.xlsx,System_A/2021/ALPHA-2021-03 raw.xlsx,Posting,2021,3,3,5,.xlsx
,,ALPHA FY21 April Extract FINAL.xlsx,System_A/2021/ALPHA FY21 April Extract FINAL.xlsx,Posting,2021,4,2,1,.xlsx
,,May_2021__ALPHA__HIST.xlsx,System_A/2021/May_2021__ALPHA__HIST.xlsx,LedgerView,2021,5,3,1,.xlsx
,,2021_Jun_ALPHA_dump.xlsx,System_A/2021/2021_Jun_ALPHA_dump.xlsx,Posting ,2021,6,14,2,.xlsx
,,July_2021__ALPHA__HIST.xlsx,System_A/2021/July_2021__ALPHA__HIST.xlsx,MonthlyData,2021,7,7,5,.xlsx
,,ALPHA FY21 August Extract FINAL.xlsx,System_A/2021/ALPHA FY21 August Extract FINAL.xlsx,MAIN EXPORT ,2021,8,12,2,.xlsx
,,ALPHA-2021-09 raw.xlsx,System_A/2021/ALPHA-2021-09 raw.xlsx,Transactions,2021,9,15,4,.xlsx
,,2021_Oct_ALPHA_dump.xlsx,System_A/2021/2021_Oct_ALPHA_dump.xlsx,Posting,2021,10,12,3,.xlsx
,,November_2021__ALPHA__HIST.xlsx,System_A/2021/November_2021__ALPHA__HIST.xlsx,Posting,2021,11,16,2,.xlsx
,,ALPHA FY21 December Extract FINAL.xlsx,System_A/2021/ALPHA FY21 December Extract FINAL.xlsx,Main Export ,2021,12,8,5,.xlsx
,,ALPHA__2022.01__REPORT.xlsx,System_A/2022/ALPHA__2022.01__REPORT.xlsx,Sheet1,2022,1,18,1,.xlsx
,,ALPHA FY22 February Extract FINAL.xlsx,System_A/2022/ALPHA FY22 February Extract FINAL.xlsx,Posting ,2022,2,11,1,.xlsx
,,ALPHA__2022.03__REPORT.xlsx,System_A/2022/ALPHA__2022.03__REPORT.xlsx,DATA,2022,3,4,5,.xlsx
,,ALPHA_Extract__04_2022__v2.xlsx,System_A/2022/ALPHA_Extract__04_2022__v2.xlsx,Main ,2022,4,10,1,.xlsx
,,ALPHA FY22 May Extract FINAL.xlsx,System_A/2022/ALPHA FY22 May Extract FINAL.xlsx,EXTRACT ,2022,5,10,4,.xlsx
,,June_2022__ALPHA__HIST.xlsx,System_A/2022/June_2022__ALPHA__HIST.xlsx,DATA,2022,6,6,4,.xlsx
,,2022_Jul_ALPHA_dump.xlsx,System_A/2022/2022_Jul_ALPHA_dump.xlsx,DATA,2022,7,2,5,.xlsx
,,ALPHA__2022.08__REPORT.xlsx,System_A/2022/ALPHA__2022.08__REPORT.xlsx,Extract,2022,8,15,4,.xlsx
,,September_2022__ALPHA__HIST.xlsx,System_A/2022/September_2022__ALPHA__HIST.xlsx,Sheet1,2022,9,11,2,.xlsx
,,ALPHA FY22 October Extract FINAL.xlsx,System_A/2022/ALPHA FY22 October Extract FINAL.xlsx,Extract,2022,10,14,2,.xlsx
,,ALPHA-2022-11 raw.xlsx,System_A/2022/ALPHA-2022-11 raw.xlsx,Main,2022,11,9,1,.xlsx
,,2022_Dec_ALPHA_dump.xlsx,System_A/2022/2022_Dec_ALPHA_dump.xlsx,MAIN,2022,12,3,5,.xlsx
,,January_2023__ALPHA__HIST.xlsx,System_A/2023/January_2023__ALPHA__HIST.xlsx,LedgerView,2023,1,10,1,.xlsx
